Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
45	1	-168.5549	-117.2378	-51.31709	1	0.987683	1.2167	0.351931	0.354678	0.369514	0.328009	0.339627	0.346754	0.333037
46	0	-164.1491	-113.8195	-50.32966	1	0.11217	0.17369	1.27472	1.24777	0.464153	0.595905	0.684063	0.607121	0.696896
47	1	-157.4699	-114.8106	-42.65928	1	1.00103	1.0002	0.990377	0.985752	0.222031	0.222749	0.232432	0.2292	0.229634
48	0	-154.3111	-116.2572	-38.05387	1	0.0875969	0.134164	0.989936	1.19622	0.565079	0.688999	0.837206	0.707511	1.19571
49	1	-183.1435	-117.4491	-65.6944	1	0.701254	0.564463	0.588794	0.593034	0.594884	0.581845	0.494304	0.497242	0.502919
50	0	-172.7318	-116.1681	-56.56379	1	0.138698	0.198496	1.36275	1.72065	0.974975	1.28792	1.55468	1.37373	1.91832
51	1	-161.4498	-114.4152	-47.03465	1	0.240739	0.242841	0.246052	0.244493	0.248146	0.255559	0.240592	0.243377	0.23559
52	0	-141.8738	-116.0565	-25.81726	1	0.168743	0.182039	1.44259	1.71135	0.559835	0.95997	0.824763	0.43215	0.677538
53	1	-195.4403	-115.5462	-79.89412	1	0.319955	0.32068	0.457155	0.453443	0.418096	0.485729	0.487898	0.361732	0.328376
54	0	-140.9089	-113.7745	-27.13439	1	0.208906	0.214475	1.26142	1.26897	0.465013	1.08436	1.19101	1.03896	1.46542
55	1	-176.8897	-114.3615	-62.52824	1	0.201115	0.433075	0.485476	0.485841	0.717188	0.841491	0.904872	0.312496	0.306429
56	0	-164.8919	-112.173	-52.71885	1	0.17266	0.215803	1.84489	1.61815	0.420814	1.30057	1.41237	1.31723	0.892263
57	1	-162.7224	-114.9153	-47.80707	1	0.311755	0.433109	0.483206	0.482253	0.502863	0.544936	0.572246	0.418432	0.405332
58	0	-144.2044	-118.2398	-25.96457	1	0.0529419	0.0883534	1.5705	0.783261	0.235035	1.46622	1.92683	1.78463	1.40605
59	1	-154.2043	-118.1528	-36.05153	1	0.533146	0.565552	0.247957	0.2421	0.243784	0.241544	0.250516	0.224774	0.267647
60	0	-109.8843	-112.4841	2.599726	1	0.0728846	0.113985	2.27066	1.128	0.277396	1.38286	1.61276	1.54434	1.59594
61	1	-138.6446	-117.2553	-21.38934	1	0.523455	0.527199	0.690779	0.67912	0.711561	0.671492	0.668621	0.685532	0.679397
62	0	-121.4373	-112.3409	-9.096453	1	0.0307064	0.056908	1.75712	1.37335	0.53104	1.15543	1.59663	1.41551	1.50803
63	1	-157.3753	-116.4724	-40.90284	1	0.535373	0.76147	1.24852	1.35122	0.891878	0.937602	0.933132	1.10268	0.505273
64	0	-118.5616	-112.3855	-6.176096	1	0.0316827	0.0794889	2.54628	1.62959	0.779078	1.25936	1.5181	1.17933	1.33071
