Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
40	0	-160.0372	-113.1215	-46.91573	0.874332	0.851653	0.753637	0.730626	0.866202	0.913989	0.96969	0.858703	0.816756	0.817072
41	1	-165.6507	-116.0179	-49.63284	0.950057	2.32766	0.0517919	0.800484	6.32023e-06	3.24582e-05	3.27231e-05	3.14691e-07	3.15375e-07	3.20458e-07
42	0	-164.679	-111.6063	-53.07273	0.998857	0.874767	0.782696	0.774425	1.08664	1.22534	0.116246	0.111481	0.111487	0.110807
43	1	-176.2476	-116.8206	-59.42701	0.817769	2.94328	6.95544e-10	8.89747e-09	5.49667e-09	5.87506e-09	5.23985e-08	5.50733e-09	1.11224e-08	1.52438e-08
44	0	-166.3175	-113.0714	-53.24605	0.952236	0.602065	0.602395	0.643761	0.641975	0.621246	0.604945	2.10508e-07	2.43923e-07	2.07331e-07
45	1	-168.5549	-117.2378	-51.31709	0.93188	2.84694	0.00237808	0.00154742	0.000718924	0.000765704	0.00424117	0.0024288	0.00142946	0.00146873
46	0	-164.1491	-113.8195	-50.32966	0.760061	0.806201	0.763021	0.847851	0.4914	0.451436	0.370759	0.204005	0.198415	0.194641
47	1	-157.4699	-114.8106	-42.65928	0.958381	3.35324	0.00956053	0.0111411	1.31612e-05	2.64662e-05	3.1089e-05	4.66459e-05	5.22832e-05	5.42599e-05
48	0	-154.3111	-116.2572	-38.05387	0.69935	0.699458	0.697151	0.693917	0.642455	0.647681	0.605126	0.602543	0.601099	1.94025
49	1	-183.1435	-117.4491	-65.6944	0.932025	2.67864	7.49955e-08	5.76922e-05	0.157472	0.164015	0.172101	1.31555e-09	1.08062e-09	9.59759e-10
50	0	-172.7318	-116.1681	-56.56379	0.80728	0.82103	0.690952	0.905697	0.896753	0.896967	1.42284	1.3675	1.50816	1.49252
51	1	-161.4498	-114.4152	-47.03465	0.98558	0.754744	0.000181883	0.000458633	4.50008e-09	2.40512e-09	2.20161e-11	3.3578e-10	3.41877e-10	3.6647e-10
52	0	-141.8738	-116.0565	-25.81726	0.988674	0.986819	0.907909	0.907697	0.779685	0.784422	0.784036	0.783595	0.722102	0.722569
53	1	-195.4403	-115.5462	-79.89412	0.882874	0.768101	0.0625453	0.167776	0.396804	0.190674	3.0641e-26	8.72468e-30	7.89298e-31	7.95328e-31
54	0	-140.9089	-113.7745	-27.13439	0.836079	0.842873	0.837328	0.713241	0.713879	0.724181	0.724139	0.708928	0.708392	0.661973
55	1	-176.8897	-114.3615	-62.52824	0.957329	1.1686	0.175491	0.197654	0.445439	0.399526	0.208839	0.170958	0.279421	0.322908
56	0	-164.8919	-112.173	-52.71885	0.969384	0.94077	0.889385	0.9025	0.891494	0.802521	0.790444	0.789526	0.800879	0.790959
57	1	-162.7224	-114.9153	-47.80707	0.918615	0.921432	0.247954	0.213578	0.249336	0.249206	0.162238	0.215811	0.221493	0.220013
58	0	-144.2044	-118.2398	-25.96457	0.739124	0.74601	0.745406	0.743471	0.743891	0.763483	0.763664	0.723332	0.7216	0.722811
59	1	-154.2043	-118.1528	-36.05153	0.995261	0.995409	0.0574509	0.0775282	0.0783597	0.0130616	0.0180707	0.0180523	0.0203174	0.0148811
60	0	-109.8843	-112.4841	2.599726	0.978708	0.978531	0.978836	0.978848	0.980141	0.981973	0.982822	0.982836	0.982488	0.981435
61	1	-138.6446	-117.2553	-21.38934	0.920461	0.975423	0.498104	0.475527	0.475553	0.473803	0.403749	0.359581	0.389347	0.456497
62	0	-121.4373	-112.3409	-9.096453	0.891611	0.891619	0.893386	0.892394	0.892614	1.00113	1.00113	1.0027	1.00077	0.999546
63	1	-157.3753	-116.4724	-40.90284	0.980457	0.953344	0.954284	0.966283	1.11523	1.02193	0.662226	0.33934	0.558713	0.557542
64	0	-118.5616	-112.3855	-6.176096	0.984296	0.984832	0.985121	0.984963	0.985322	0.984855	0.984477	1.00815	1.00858	1.00637
65	1	-176.8609	-117.6952	-59.16569	0.946667	1.02825	1.46565	0.537346	0.572748	0.221743	0.312753	0.076678	0.0503651	0.0509785
66	0	-119.0946	-111.8956	-7.199083	0.939065	0.931255	0.935969	0.934961	0.933993	0.933855	0.931284	0.926811	0.925362	0.925169
67	1	-157.7154	-119.5622	-38.15319	0.995189	1.66877	1.32693	0.450721	0.405959	0.0457963	0.0485334	0.0379343	0.0372886	0.0402909
68	0	-147.6286	-111.1148	-36.51377	0.992879	0.962852	0.967728	0.967391	0.967656	0.966402	0.913968	0.900059	0.900458	0.903018
69	1	-180.0169	-116.6034	-63.41348	0.926861	0.788803	0.0238917	0.00101765	0.000519122	4.98777e-05	2.78356e-05	2.79533e-05	1.1224e-06	7.01819e-07
70	0	-139.184	-112.4627	-26.72131	0.960208	0.954674	0.957557	0.957221	0.960694	0.964524	0.965112	0.949411	0.92461	0.921269
71	1	-176.198	-118.6303	-57.56776	0.873074	0.0723138	0.0584716	0.000254633	3.474e-06	8.58922e-06	9.388e-06	2.45143e-06	2.44111e-06	2.54575e-06
