Iteration	Replicate_ID	Posterior	Likelihood	Prior	mass_extinction_probabilities[1]	mass_extinction_probabilities[2]	mass_extinction_probabilities[3]	mass_extinction_probabilities[4]	mass_extinction_probabilities[5]	mass_extinction_probabilities[6]	mass_extinction_probabilities[7]	mass_extinction_probabilities[8]	mass_extinction_probabilities[9]
76	0	-108.1363	-98.03574	-10.10052	0	0	0	0	0	0	0	0	0
77	1	-64.52142	-103.2126	38.69118	0	0	0	0	0	0	0	0	0
78	0	-94.91191	-103.4218	8.509854	0	0	0	0	0	0	0	0	0
79	1	-51.42813	-103.3954	51.96729	0	0	0	0	0	0	0	0	0
80	0	-99.12317	-97.96571	-1.15746	0	0	0	0	0	0	0	0	0
81	1	-59.94427	-100.7666	40.82236	0	0	0	0	0	0	0	0	0
82	0	-124.7636	-103.4355	-21.32808	0	0	0	0	0	0	0	0	0
83	1	-88.40327	-99.96285	11.55958	0	0	0	0	0	0	0	0	0
84	0	-110.5229	-97.77361	-12.74924	0	0	0	0	0	0	0	0	0
85	1	-124.0406	-101.4044	-22.63619	0	0	0	0	0	0	0	0	0
86	0	-113.1523	-101.6537	-11.49858	0	0	0	0	0	0	0	0	0
87	1	-122.2363	-103.6967	-18.53962	0	0	0	0	0	0	0	0	0
88	0	-132.481	-97.40152	-35.07951	0	0	0	0	0	0	0	0	0
89	1	-100.6445	-101.7848	1.140287	0	0	0	0	0	0	0	0	0
90	0	-111.3315	-96.74462	-14.58686	0	0	0	0	0	0	0	0	0
91	1	-111.8041	-102.4404	-9.363732	0	0	0	0	0	0	0	0	0
92	0	-101.7332	-99.5988	-2.134439	0	0	0	0	0	0	0	0	0
93	1	-34.43461	-103.7401	69.30546	0	0	0	0	0	0	0	0	0
94	0	-127.7702	-104.0494	-23.72072	0	0	0	0	0	0	0	0	0
95	1	-96.33545	-102.0736	5.738154	0	0	0	0	0	0	0	0	0
96	0	-128.9584	-99.13731	-29.82108	0	0	0	0	0	0	0	0	0
97	1	-112.0582	-99.3527	-12.70553	0	0	0	0	0	0	0	0	0
98	0	-102.0302	-97.44224	-4.587923	0	0.779579	0	0	0	0	0	0	0
99	1	-110.0507	-106.0861	-3.964657	0	0	0	0	0	0	0	0	0
100	0	-116.0431	-101.7078	-14.33528	0	0	0	0	0	0	0	0	0
101	1	-128.7778	-103.1053	-25.67252	0	0	0	0	0	0	0	0	0
102	0	-67.12175	-102.0626	34.94085	0	0	0	0	0	0	0	0	0
103	1	-113.6465	-104.9472	-8.699311	0	0	0	0	0	0	0	0	0
104	0	-78.24921	-103.9485	25.69928	0	0	0	0	0	0	0	0	0
105	1	-95.84721	-99.94008	4.092864	0	0	0	0	0	0	0	0	0
106	0	-50.75867	-104.0746	53.31592	0	0	0	0	0	0	0	0	0
107	1	-74.99845	-99.6706	24.67216	0	0	0	0	0	0	0	0	0
108	0	-84.28383	-104.1591	19.8753	0.870739	0	0	0	0	0	0	0	0
109	1	-84.6937	-105.1508	20.45707	0	0	0	0	0	0	0	0	0
110	0	-112.8184	-98.178	-14.64041	0.807031	0	0	0	0	0	0	0	0
111	1	-46.22567	-104.1374	57.91168	0	0	0	0	0	0	0	0	0
112	0	-95.94185	-97.09763	1.155775	0.807031	0	0	0	0	0	0	0	0
113	1	-59.73704	-102.1425	42.40548	0	0	0	0	0	0	0	0	0
114	0	-108.9745	-99.41462	-9.559903	0.807031	0	0	0	0	0	0	0	0
115	1	-99.11308	-101.493	2.379945	0	0	0	0	0	0	0	0	0
116	0	-96.03764	-99.70922	3.671572	0.807031	0	0	0	0	0	0	0	0
117	1	-77.78767	-100.1979	22.41025	0	0	0	0	0	0	0	0	0
118	0	-105.737	-97.65788	-8.079166	0.807031	0	0	0	0.887094	0	0	0	0
119	1	-95.06931	-95.74573	0.67642	0	0	0	0	0	0	0	0	0
120	0	-88.42266	-99.60419	11.18152	0.953371	0	0	0	0	0	0	0	0
121	1	-64.52499	-100.3702	35.84516	0	0	0	0	0	0	0	0	0
122	0	-122.3892	-102.6998	-19.68941	0	0	0	0	0	0	0	0	0
123	1	-42.07347	-100.8614	58.78797	0	0	0	0	0	0	0	0	0
124	0	-128.486	-98.89259	-29.5934	0	0	0	0	0	0	0	0	0
125	1	-66.76522	-101.0167	34.2515	0	0	0	0	0	0	0	0	0
126	0	-117.6578	-101.8288	-15.82903	0	0	0	0	0	0	0	0	0
127	1	-66.25738	-102.6057	36.34837	0	0	0	0.884742	0	0	0	0	0
128	0	-155.4706	-105.136	-50.33454	0	0	0	0	0	0	0	0	0
129	1	-105.7981	-100.8997	-4.898452	0	0	0	0.778108	0	0	0	0	0
130	0	-105.5472	-103.8467	-1.700476	0	0	0	0	0	0	0	0	0
131	1	-122.2379	-101.8695	-20.36842	0	0	0	0	0	0	0	0	0
132	0	-104.9394	-107.9777	3.03835	0.885848	0	0	0	0	0	0	0	0
133	1	-91.3529	-100.937	9.584105	0	0	0	0	0	0	0	0	0
134	0	-96.08228	-99.55887	3.476586	0.927973	0	0	0	0	0	0	0	0
135	1	-99.71906	-101.8818	2.162713	0	0	0	0	0	0	0	0	0
136	0	-95.81835	-98.81464	2.996289	0.823274	0	0	0	0	0	0	0	0
137	1	-127.7826	-101.139	-26.64362	0	0	0	0	0	0	0	0	0
138	0	-86.89341	-100.2628	13.36943	0.83057	0	0	0	0	0	0	0	0
139	1	-54.09479	-98.68113	44.58634	0	0	0	0	0	0	0	0	0
140	0	-106.5531	-103.9863	-2.566811	0	0	0	0	0	0	0	0	0
141	1	-61.47835	-99.33999	37.86164	0	0	0	0	0	0	0	0	0
142	0	-107.5655	-102.8314	-4.734094	0	0	0	0	0	0	0	0	0
143	1	-68.2611	-102.4683	34.20716	0	0	0	0	0	0	0	0	0
144	0	-63.39029	-106.7174	43.32711	0	0	0	0	0	0	0	0	0
145	1	-108.847	-104.2825	-4.564487	0	0	0	0	0	0	0	0	0
146	0	-103.4359	-101.7094	-1.726419	0	0	0	0	0	0	0	0	0
147	1	-81.41719	-98.96357	17.54638	0.797629	0	0	0	0	0	0	0	0
148	0	-118.305	-96.33087	-21.97411	0	0	0	0	0	0	0	0	0
149	1	-59.86943	-100.0519	40.18248	0	0	0	0	0	0	0	0	0
150	0	-83.13937	-95.70437	12.565	0	0	0	0	0	0	0	0	0
151	1	-96.81985	-100.3313	3.511448	0	0	0	0	0	0	0	0	0
152	0	-155.1417	-100.1981	-54.94363	0	0	0	0	0	0	0	0	0
153	1	-94.36608	-104.9182	10.55208	0	0	0	0	0	0	0	0	0
154	0	-98.56777	-103.4333	4.865483	0	0	0	0	0	0.935377	0	0	0
155	1	-131.1291	-99.15094	-31.97815	0	0	0	0	0	0	0	0	0
156	0	-143.18	-95.96226	-47.21777	0	0	0	0	0	0	0	0	0
157	1	-92.67013	-102.7396	10.06943	0	0	0	0	0	0	0	0	0
158	0	-176.6283	-96.10888	-80.51939	0	0	0	0	0	0	0	0	0
159	1	-78.96971	-104.128	25.15831	0	0	0	0	0	0	0	0	0
160	0	-130.5403	-96.2043	-34.33597	0	0	0	0	0	0	0	0	0
161	1	-80.10738	-98.67296	18.56557	0	0	0	0	0	0	0	0	0
162	0	-86.89226	-96.59104	9.698774	0	0	0	0	0	0	0.926097	0	0
163	1	-118.0284	-104.5557	-13.47265	0	0	0	0	0	0	0	0	0
164	0	-96.84655	-96.8863	0.03975222	0	0	0	0	0	0	0.926097	0	0
165	1	-60.74671	-101.3861	40.63939	0	0	0	0	0	0	0	0	0
166	0	-121.9943	-100.6154	-21.3789	0	0	0	0	0	0	0	0	0
167	1	-133.8074	-100.6726	-33.13479	0	0	0	0	0	0	0	0	0
168	0	-149.4688	-98.56215	-50.90664	0	0	0	0	0	0	0	0	0
169	1	-122.6121	-101.3967	-21.21537	0.644471	0	0	0	0	0	0	0	0
170	0	-124.8422	-97.44985	-27.39236	0	0	0	0	0	0	0	0	0
171	1	-140.3818	-101.3135	-39.06823	0	0	0	0	0	0	0	0	0
172	0	-75.4053	-101.5476	26.14228	0	0	0	0	0	0	0	0	0
173	1	-99.15602	-99.06521	-0.09081525	0	0	0	0	0	0	0	0	0
174	0	-70.07002	-101.4284	31.35836	0	0	0	0	0	0	0	0	0
175	1	-149.7142	-101.268	-48.44619	0	0	0	0	0	0	0	0	0
176	0	-150.9804	-101.6085	-49.37187	0	0	0	0	0	0	0	0	0
177	1	-103.9864	-97.35462	-6.63176	0.768414	0	0	0	0	0	0	0	0
178	0	-112.5453	-100.6818	-11.86349	0	0	0	0	0	0	0	0	0
179	1	-93.61792	-97.85241	4.234491	0.880868	0	0	0	0	0	0	0	0
180	0	-134.5768	-96.88388	-37.69293	0	0	0	0	0	0	0	0	0
181	1	-120.4713	-104.6798	-15.79151	0	0	0	0	0	0	0	0	0
182	0	-98.57469	-102.749	4.174314	0	0	0	0	0	0	0	0	0
183	1	-100.6439	-99.04445	-1.599448	0	0	0	0	0	0	0	0	0
184	0	-115.8767	-95.91744	-19.95926	0.886406	0	0	0	0.883108	0	0	0	0
185	1	-92.79132	-102.0572	9.265895	0	0	0	0	0	0	0	0	0
186	0	-137.0621	-98.85746	-38.20466	0.953365	0	0	0	0	0	0	0	0
187	1	-102.5908	-98.69883	-3.891974	0	0.70635	0	0	0	0	0	0	0
188	0	-81.31845	-96.1263	14.80785	0.882155	0	0	0	0	0	0	0	0
189	1	-136.9691	-101.6395	-35.32958	0	0.81163	0	0	0	0	0	0	0
190	0	-89.51426	-98.35444	8.840182	0	0	0	0	0	0	0	0	0
191	1	-128.0148	-100.164	-27.85086	0	0.860314	0	0	0	0	0	0	0
192	0	-125.2079	-97.85267	-27.3552	0	0	0	0	0	0	0	0	0
193	1	-111.1739	-100.354	-10.81985	0	0.860013	0	0	0	0	0	0	0
194	0	-112.0379	-98.98625	-13.05164	0	0	0	0	0	0	0	0	0
