Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction_rate	fossilization_rate	speciation_rate
80	0	-102.3397	-107.1528	4.813148	0.01547787	0.00809884	0.1016501
81	1	-102.7048	-107.4578	4.75296	0.03856	0.00366752	0.09669296
82	0	-100.2489	-105.0728	4.823861	0.0145713	0.0009740964	0.1014895
83	1	-102.4041	-107.0847	4.680524	0.03317979	0.004368793	0.107305
84	0	-99.95207	-104.8135	4.86144	0.004412012	0.001816492	0.09961449
85	1	-102.8976	-107.4976	4.600016	0.01017655	0.007102602	0.1246591
86	0	-99.92941	-104.9361	5.006691	0.00447805	0.002266807	0.08500232
87	1	-102.8069	-107.5896	4.782688	0.03061764	0.006258145	0.09836555
88	0	-99.98696	-104.9141	4.927119	0.003909405	0.0025433	0.09305087
89	1	-101.1541	-106.2544	5.100339	0.009108073	0.004165835	0.07462324
90	0	-101.6163	-106.2304	4.614115	0.02849307	0.001979759	0.1167992
91	1	-100.4389	-105.1527	4.713822	0.0003044943	0.001447802	0.1146287
92	0	-101.8469	-106.8238	4.97695	0.001574766	0.009964113	0.08724012
93	1	-101.3798	-106.1679	4.788044	0.01273975	0.004922427	0.105332
94	0	-104.0388	-108.4495	4.410712	0.02827467	0.006616159	0.1374521
95	1	-101.6014	-106.2557	4.654244	0.01698212	0.003365548	0.1176861
96	0	-103.0878	-107.7454	4.657596	0.04062527	0.004880273	0.1047145
97	1	-99.90995	-104.8322	4.922284	0.0001851787	0.002928101	0.09366713
98	0	-101.9541	-106.9341	4.980052	0.02792404	0.001912805	0.08028775
99	1	-101.8907	-106.8428	4.952045	0.02668509	0.002784783	0.08374424
100	0	-101.0962	-106.3224	5.226247	0.002712479	0.002627455	0.06200756
101	1	-103.22	-107.8741	4.654105	0.0256512	0.008190882	0.1135721
102	0	-101.8444	-106.3666	4.522255	0.02759992	0.001480638	0.1266564
103	1	-105.085	-110.1753	5.090237	0.01456953	0.0156927	0.07197688
104	0	-99.88925	-104.8133	4.924099	0.01212199	0.0004972476	0.09210616
105	1	-104.2873	-108.7088	4.421501	0.009338708	0.006494192	0.1435482
106	0	-102.3766	-107.3516	4.975005	0.006816043	0.01056206	0.08687096
107	1	-99.81744	-104.6733	4.855838	0.003360579	0.001423177	0.100269
108	0	-100.1654	-105.1056	4.940241	0.004277093	0.003171347	0.09166839
109	1	-103.8752	-108.8495	4.974234	0.03419626	0.005360184	0.07697478
110	0	-101.693	-106.3732	4.680127	0.03600817	0.001400185	0.1057652
111	1	-104.1689	-109.1458	4.97686	0.03633248	0.005017048	0.0753493
112	0	-104.3826	-108.6662	4.283632	0.051012	0.005577301	0.1347239
113	1	-101.8382	-106.8287	4.990543	0.01309174	0.006811325	0.0847025
114	0	-100.7228	-105.4121	4.689327	0.008888364	0.001398035	0.1163109
115	1	-102.6623	-107.957	5.294714	0.006880314	0.002449943	0.05365125
116	0	-102.3487	-107.3296	4.980946	0.01114683	0.009247415	0.08575138
117	1	-101.3021	-105.8959	4.593836	0.01425618	0.001187224	0.1247875
118	0	-99.26679	-104.3172	5.050438	0.002350073	0.0001487698	0.08074943
