Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
15	-16896.45	-16903.43	6.988145	0.25664	0.229988	0.363867	0.32608	0.827194	1.17281	0.2587994	0.839829	1.19072	0.310254	0.278034	0.006881809	0.00688181	0.00688181	0.75984	0.0548104	0.106211	0.0791395	0.310516	0.573662	0.720257	1.33064	0.602492	1.39751	0.6237105	0.656596	1.52301	0.515386	0.95215	0.000677255	0.00129922
16	-16896.73	-16904.02	7.283669	0.265366	0.236232	0.37624	0.334932	0.827194	1.17281	0.2587994	0.839829	1.19072	0.320803	0.285582	0.006120853	0.00612085	0.00612085	0.564434	0.040715	0.307131	0.0877196	0.305947	0.565221	0.724826	1.33908	0.593626	1.40637	0.6393871	0.64969	1.5392	0.515386	0.95215	0.000782322	0.00123243
17	-16896.62	-16904.13	7.509256	0.267828	0.217584	0.373778	0.303657	0.834868	1.16513	0.2470868	0.846489	1.18135	0.320803	0.260621	0.005898657	0.00589866	0.00589866	0.576061	0.0415537	0.292859	0.0895265	0.305947	0.565221	0.724826	1.33908	0.593626	1.40637	0.6393871	0.64969	1.5392	0.515386	0.95215	0.00087711	0.00114406
18	-16896.86	-16904.4	7.530552	0.252702	0.205296	0.388904	0.315946	0.787718	1.21228	0.3195889	0.80609	1.24056	0.320803	0.260621	0.00597335	0.00597335	0.00597335	0.534616	0.10225	0.253778	0.109356	0.305947	0.571056	0.724826	1.3529	0.593626	1.40637	0.6393871	0.64969	1.5392	0.515386	0.961979	0.000886949	0.000766636
19	-16893.37	-16902.41	9.042546	0.268165	0.212245	0.373442	0.295568	0.835917	1.16408	0.2454895	0.847402	1.18008	0.320803	0.253907	0.003609846	0.00360985	0.00360985	0.394583	0.14941	0.370827	0.0851798	0.305947	0.571056	0.724826	1.3529	0.593626	1.40637	0.6393871	0.64969	1.5392	0.515386	0.961979	0.00107136	0.000376218
20	-16890.63	-16899.69	9.06645	0.26776	0.298235	0.372879	0.415317	0.835917	1.16408	0.2454895	0.847402	1.18008	0.320319	0.356776	0.002840325	0.00284033	0.00284033	0.479504	0.0696293	0.366647	0.0842196	0.330884	0.591124	0.746059	1.33283	0.614488	1.38551	0.602705	0.665965	1.50158	0.538472	0.961979	0.00118873	0.000378495
21	-16888.18	-16897.05	8.876004	0.27686	0.255414	0.363779	0.3356	0.864325	1.13567	0.2024	0.872392	1.14627	0.320319	0.295507	0.004115094	0.00411509	0.00411509	0.659466	0.0280921	0.196614	0.115828	0.330884	0.595176	0.746059	1.34197	0.614488	1.38551	0.602705	0.665965	1.50158	0.538472	0.968573	0.000836694	0.000297402
22	-16887.44	-16896.9	9.455523	0.339487	0.264805	0.418209	0.326209	0.896103	1.1039	0.1545956	0.900979	1.1099	0.378848	0.295507	0.003189458	0.00318946	0.00318946	0.341784	0.0534034	0.544782	0.0600306	0.332891	0.598786	0.744053	1.33836	0.618214	1.38179	0.5962263	0.668881	1.49503	0.538472	0.968573	0.000574483	0.000247645
23	-16890.61	-16899.99	9.387651	0.334815	0.239735	0.454139	0.325174	0.848756	1.15124	0.225968	0.858634	1.16464	0.394477	0.282454	0.003188934	0.00318893	0.00318893	0.300335	0.205421	0.445188	0.0490562	0.332891	0.598786	0.744053	1.33836	0.618214	1.38179	0.5962263	0.668881	1.49503	0.538472	0.968573	0.000491296	0.000238983
24	-16886.35	-16895.26	8.904222	0.307945	0.280584	0.481008	0.43827	0.780642	1.21936	0.3305929	0.80013	1.2498	0.394477	0.359427	0.002987497	0.0029875	0.0029875	0.300335	0.205421	0.445188	0.0490562	0.372805	0.651465	0.833265	1.45611	0.618214	1.38179	0.5962263	0.668881	1.49503	0.603035	1.05379	0.000391393	0.000288542
