Iteration	Posterior	Likelihood	Prior	birth_rate
1220	-108.9797	-104.3745	-4.60517	0.1079301
1230	-109.1114	-104.5062	-4.60517	0.1107556
1240	-108.7148	-104.1097	-4.60517	0.07845166
1250	-108.6817	-104.0766	-4.60517	0.09948191
1260	-108.6638	-104.0586	-4.60517	0.08010459
1270	-109.0855	-104.4803	-4.60517	0.07079572
1280	-108.5435	-103.9384	-4.60517	0.09029447
1290	-108.5429	-103.9378	-4.60517	0.09008976
1300	-109.4421	-104.8369	-4.60517	0.1168013
1310	-108.6242	-104.019	-4.60517	0.09701014
1320	-108.9105	-104.3053	-4.60517	0.07383533
1330	-109.1159	-104.5107	-4.60517	0.1108468
1340	-111.0318	-106.4266	-4.60517	0.05309825
1350	-108.8702	-104.2651	-4.60517	0.07464611
1360	-108.7719	-104.1667	-4.60517	0.07689515
1370	-108.5417	-103.9365	-4.60517	0.0892473
1380	-108.5752	-103.97	-4.60517	0.09410476
1390	-108.6353	-104.0302	-4.60517	0.0975415
1400	-108.7362	-104.131	-4.60517	0.07784006
1410	-108.5899	-103.9847	-4.60517	0.09511712
1420	-109.4463	-104.8412	-4.60517	0.1168723
1430	-108.9013	-104.2962	-4.60517	0.1060688
1440	-108.5505	-103.9454	-4.60517	0.08663497
1450	-108.5418	-103.9367	-4.60517	0.08950794
1460	-108.5864	-103.9813	-4.60517	0.09489425
1470	-108.7472	-104.142	-4.60517	0.101761
1480	-109.6404	-105.0352	-4.60517	0.1199722
1490	-111.6427	-107.0375	-4.60517	0.144326
1500	-109.8085	-105.2034	-4.60517	0.1224803
1510	-111.2347	-106.6295	-4.60517	0.1400302
1520	-108.7386	-104.1335	-4.60517	0.1014857
1530	-108.6269	-104.0217	-4.60517	0.08154825
1540	-109.3074	-104.7022	-4.60517	0.1144777
1550	-108.9701	-104.365	-4.60517	0.1077121
1560	-108.5697	-103.9646	-4.60517	0.09367489
1570	-108.8559	-104.2507	-4.60517	0.1049051
1580	-109.2636	-104.6584	-4.60517	0.1136851
1590	-108.5672	-103.962	-4.60517	0.08492378
1600	-108.9425	-104.3373	-4.60517	0.073227
1610	-108.5605	-103.9553	-4.60517	0.0928443
1620	-108.544	-103.9389	-4.60517	0.09043933
1630	-108.5483	-103.9432	-4.60517	0.09133175
1640	-109.4578	-104.8526	-4.60517	0.1170621
1650	-108.5461	-103.941	-4.60517	0.09093253
1660	-108.6542	-104.049	-4.60517	0.08045345
1670	-109.6875	-105.0824	-4.60517	0.1206905
1680	-109.6844	-105.0792	-4.60517	0.1206425
1690	-108.574	-103.9688	-4.60517	0.08440637
1700	-108.9575	-104.3523	-4.60517	0.07295048
1710	-109.8912	-105.286	-4.60517	0.1236624
1720	-108.6214	-104.0162	-4.60517	0.09687275
1730	-108.542	-103.9369	-4.60517	0.08859645
1740	-109.3232	-104.7181	-4.60517	0.06746841
1750	-108.8242	-104.219	-4.60517	0.07564422
1760	-108.5435	-103.9383	-4.60517	0.08797798
1770	-108.6758	-104.0706	-4.60517	0.09925227
1780	-108.5441	-103.9389	-4.60517	0.0878158
1790	-109.5925	-104.9874	-4.60517	0.1192304
1800	-108.9219	-104.3167	-4.60517	0.1065738
1810	-109.0509	-104.4457	-4.60517	0.07134679
1820	-108.5866	-103.9814	-4.60517	0.09490253
1830	-110.9144	-106.3092	-4.60517	0.1364872
1840	-109.0085	-104.4034	-4.60517	0.1085779
1850	-111.1543	-106.5492	-4.60517	0.1391569
1860	-108.6303	-104.0251	-4.60517	0.0973049
1870	-109.5458	-104.9407	-4.60517	0.0648651
1880	-108.717	-104.1119	-4.60517	0.1007616
1890	-109.5658	-104.9606	-4.60517	0.0646496
1900	-111.2825	-106.6774	-4.60517	0.1405459
1910	-108.8529	-104.2478	-4.60517	0.1048277
1920	-109.14	-104.5348	-4.60517	0.06996741
1930	-108.5454	-103.9403	-4.60517	0.08749506
1940	-108.6092	-104.0041	-4.60517	0.0962437
1950	-111.2277	-106.6225	-4.60517	0.1399548
1960	-108.5452	-103.9401	-4.60517	0.08753444
1970	-108.9194	-104.3142	-4.60517	0.0736635
1980	-108.5479	-103.9427	-4.60517	0.08703401
1990	-108.6015	-103.9963	-4.60517	0.09581249
2000	-109.6009	-104.9957	-4.60517	0.06427698
2010	-109.2055	-104.6004	-4.60517	0.1126018
2020	-108.89	-104.2848	-4.60517	0.07424261
2030	-111.2191	-106.6139	-4.60517	0.1398617
2040	-108.6217	-104.0165	-4.60517	0.08177748
2050	-108.5947	-103.9895	-4.60517	0.09541297
2060	-108.6985	-104.0933	-4.60517	0.07894886
2070	-108.6348	-104.0296	-4.60517	0.08121309
2080	-108.5879	-103.9828	-4.60517	0.09499126
2090	-108.5467	-103.9415	-4.60517	0.09103752
2100	-111.1516	-106.5465	-4.60517	0.05238452
2110	-111.3977	-106.7925	-4.60517	0.1417734
2120	-109.4808	-104.8756	-4.60517	0.06558623
2130	-108.5917	-103.9865	-4.60517	0.08328066
2140	-108.5418	-103.9367	-4.60517	0.08876017
2150	-108.5463	-103.9412	-4.60517	0.09097039
2160	-108.5419	-103.9367	-4.60517	0.08872639
2170	-109.7369	-105.1318	-4.60517	0.1214299
2180	-108.6812	-104.0761	-4.60517	0.09946261
2190	-109.0749	-104.4698	-4.60517	0.07096166
2200	-108.5497	-103.9445	-4.60517	0.09154096
2210	-111.8504	-107.2453	-4.60517	0.1464336
2220	-108.608	-104.0028	-4.60517	0.08241774
2230	-108.5877	-103.9825	-4.60517	0.08351559
2240	-108.8576	-104.2524	-4.60517	0.074912
2250	-108.7896	-104.1845	-4.60517	0.1030628
2260	-108.6464	-104.0413	-4.60517	0.08074842
2270	-108.9101	-104.3049	-4.60517	0.1062861
2280	-109.6316	-105.0264	-4.60517	0.1198367
2290	-108.69	-104.0848	-4.60517	0.07921696
2300	-108.5422	-103.9371	-4.60517	0.0884809
2310	-110.3312	-105.726	-4.60517	0.05782065
2320	-108.6805	-104.0754	-4.60517	0.0795266
2330	-109.3622	-104.757	-4.60517	0.1154422
2340	-108.6138	-104.0086	-4.60517	0.09648396
2350	-113.7309	-109.1257	-4.60517	0.0408164
2360	-108.7279	-104.1227	-4.60517	0.07807423
2370	-108.5416	-103.9365	-4.60517	0.08912821
2380	-108.6077	-104.0025	-4.60517	0.09616031
2390	-109.0007	-104.3956	-4.60517	0.07218452
2400	-109.212	-104.6069	-4.60517	0.06893769
2410	-109.5737	-104.9685	-4.60517	0.1189344
2420	-112.1238	-107.5186	-4.60517	0.04731011
2430	-108.5552	-103.9501	-4.60517	0.08604979
2440	-108.5755	-103.9703	-4.60517	0.0941288
2450	-108.7521	-104.1469	-4.60517	0.1019174
2460	-108.9891	-104.3839	-4.60517	0.07238689
2470	-108.6389	-104.0337	-4.60517	0.08104662
2480	-108.5688	-103.9636	-4.60517	0.09359715
2490	-108.7294	-104.1243	-4.60517	0.07802957
2500	-108.7614	-104.1563	-4.60517	0.1022116
2510	-108.6699	-104.0647	-4.60517	0.09901932
2520	-109.1377	-104.5325	-4.60517	0.111283
2530	-110.0701	-105.4649	-4.60517	0.1261272
2540	-109.5897	-104.9845	-4.60517	0.0643951
