Iteration	Posterior	Likelihood	Prior	birth_rate
0	-12551.76	-12547.16	-4.60517	50.31162
10	-388.2703	-383.6651	-4.60517	1.440442
20	-108.6056	-104.0004	-4.60517	0.09604254
30	-109.4003	-104.7952	-4.60517	0.1160976
40	-109.4877	-104.8825	-4.60517	0.06550877
50	-109.1328	-104.5276	-4.60517	0.1111853
60	-109.2132	-104.6081	-4.60517	0.06892102
70	-108.5656	-103.9604	-4.60517	0.08505847
80	-108.5953	-103.9901	-4.60517	0.09544961
90	-108.5693	-103.9642	-4.60517	0.0936433
100	-108.6671	-104.0619	-4.60517	0.09890741
110	-109.555	-104.9498	-4.60517	0.1186384
120	-108.6387	-104.0335	-4.60517	0.09769506
130	-108.5866	-103.9814	-4.60517	0.0835814
140	-108.7218	-104.1167	-4.60517	0.0782469
150	-108.7188	-104.1136	-4.60517	0.1008218
160	-109.3345	-104.7294	-4.60517	0.1149587
170	-108.8328	-104.2277	-4.60517	0.07545043
180	-108.5448	-103.9397	-4.60517	0.09064321
190	-108.5423	-103.9372	-4.60517	0.0884327
200	-109.0878	-104.4826	-4.60517	0.07075974
210	-109.4927	-104.8875	-4.60517	0.06545244
220	-108.5544	-103.9492	-4.60517	0.0921783
230	-109.1967	-104.5916	-4.60517	0.06915059
240	-108.7995	-104.1943	-4.60517	0.1033508
250	-110.0431	-105.438	-4.60517	0.06012041
260	-108.6796	-104.0744	-4.60517	0.07955826
270	-108.8208	-104.2156	-4.60517	0.1039549
280	-110.813	-106.2078	-4.60517	0.1353281
290	-108.7405	-104.1354	-4.60517	0.1015473
300	-109.0882	-104.483	-4.60517	0.1102798
310	-108.5559	-103.9507	-4.60517	0.08597896
320	-108.7592	-104.154	-4.60517	0.1021416
330	-108.5444	-103.9393	-4.60517	0.08772391
340	-108.5473	-103.9421	-4.60517	0.08713818
350	-110.7274	-106.1222	-4.60517	0.1343351
360	-109.7197	-105.1145	-4.60517	0.06306813
370	-108.7892	-104.184	-4.60517	0.10305
380	-108.7968	-104.1916	-4.60517	0.07628156
390	-108.9426	-104.3374	-4.60517	0.07322434
400	-108.6826	-104.0774	-4.60517	0.07945923
410	-108.9499	-104.3448	-4.60517	0.07308873
420	-108.5642	-103.9591	-4.60517	0.08517293
430	-108.6406	-104.0354	-4.60517	0.09777999
440	-108.7445	-104.1394	-4.60517	0.1016772
450	-110.544	-105.9389	-4.60517	0.1321553
460	-108.6736	-104.0684	-4.60517	0.0991652
470	-108.5463	-103.9411	-4.60517	0.087326
480	-108.6358	-104.0307	-4.60517	0.08117114
490	-108.7309	-104.1257	-4.60517	0.1012312
500	-108.5711	-103.966	-4.60517	0.08461794
510	-108.5429	-103.9377	-4.60517	0.08817756
520	-109.9739	-105.3687	-4.60517	0.1248171
530	-109.6923	-105.0871	-4.60517	0.1207624
540	-108.5439	-103.9387	-4.60517	0.09040205
550	-109.6014	-104.9962	-4.60517	0.1193687
560	-109.5562	-104.9511	-4.60517	0.06475256
570	-108.7485	-104.1433	-4.60517	0.07750415
580	-110.6635	-106.0584	-4.60517	0.133584
590	-109.2477	-104.6425	-4.60517	0.1133914
600	-108.6997	-104.0945	-4.60517	0.1001503
610	-109.6371	-105.0319	-4.60517	0.1199219
620	-108.5899	-103.9847	-4.60517	0.08338524
630	-108.6104	-104.0052	-4.60517	0.09630666
640	-110.4359	-105.8307	-4.60517	0.1308334
650	-110.6656	-106.0605	-4.60517	0.1336089
660	-108.5869	-103.9817	-4.60517	0.08356469
670	-108.6406	-104.0354	-4.60517	0.0977827
680	-108.6171	-104.0119	-4.60517	0.09665682
690	-109.3418	-104.7366	-4.60517	0.1150862
700	-109.5852	-104.98	-4.60517	0.1191154
710	-110.0841	-105.479	-4.60517	0.05977668
720	-108.905	-104.2998	-4.60517	0.07394378
730	-108.5576	-103.9524	-4.60517	0.09254185
740	-109.519	-104.9138	-4.60517	0.06515897
750	-109.0975	-104.4923	-4.60517	0.1104714
760	-108.8504	-104.2452	-4.60517	0.07506671
770	-111.3607	-106.7556	-4.60517	0.1413814
780	-108.8111	-104.2059	-4.60517	0.1036821
790	-109.1502	-104.5451	-4.60517	0.06981665
800	-108.5431	-103.9379	-4.60517	0.09013801
810	-108.5643	-103.9592	-4.60517	0.0932087
820	-108.7468	-104.1416	-4.60517	0.1017497
830	-109.7055	-105.1003	-4.60517	0.1209611
840	-108.5458	-103.9406	-4.60517	0.09085694
850	-109.3442	-104.739	-4.60517	0.06720558
860	-108.6056	-104.0004	-4.60517	0.09604412
870	-108.7343	-104.1291	-4.60517	0.07789403
880	-108.6265	-104.0213	-4.60517	0.08156503
890	-108.5666	-103.9615	-4.60517	0.08497101
900	-109.0223	-104.4171	-4.60517	0.10888
910	-109.4804	-104.8752	-4.60517	0.1174349
920	-110.0149	-105.4097	-4.60517	0.1253792
930	-108.5558	-103.9507	-4.60517	0.09234511
940	-108.5835	-103.9783	-4.60517	0.0946999
950	-109.0108	-104.4056	-4.60517	0.1086271
960	-109.6999	-105.0947	-4.60517	0.1208765
970	-108.8086	-104.2034	-4.60517	0.07600239
980	-108.6432	-104.038	-4.60517	0.09789621
990	-108.5779	-103.9727	-4.60517	0.08413647
1000	-108.5469	-103.9417	-4.60517	0.08720326
1010	-108.5635	-103.9583	-4.60517	0.09313308
1020	-108.9988	-104.3936	-4.60517	0.0722185
1030	-108.5457	-103.9405	-4.60517	0.09083601
1040	-108.731	-104.1259	-4.60517	0.07798441
1050	-108.8828	-104.2776	-4.60517	0.1056023
1060	-108.645	-104.0398	-4.60517	0.08080616
1070	-108.5563	-103.9511	-4.60517	0.09239999
1080	-109.0478	-104.4426	-4.60517	0.1094316
1090	-108.6299	-104.0248	-4.60517	0.09728897
1100	-108.8446	-104.2394	-4.60517	0.1046054
1110	-108.7781	-104.173	-4.60517	0.07673746
1120	-108.5444	-103.9392	-4.60517	0.09053173
1130	-108.7069	-104.1017	-4.60517	0.1004074
1140	-108.8268	-104.2216	-4.60517	0.1041211
1150	-109.119	-104.5138	-4.60517	0.07028128
1160	-110.0652	-105.46	-4.60517	0.1260604
1170	-108.7309	-104.1257	-4.60517	0.07798762
1180	-108.7155	-104.1103	-4.60517	0.07843258
1190	-108.8224	-104.2172	-4.60517	0.0756852
1200	-109.9248	-105.3196	-4.60517	0.06114785
1210	-108.5956	-103.9904	-4.60517	0.08306185
1220	-108.6153	-104.0101	-4.60517	0.08206742
1230	-108.5541	-103.9489	-4.60517	0.08617747
1240	-108.8606	-104.2555	-4.60517	0.1050301
1250	-109.9942	-105.389	-4.60517	0.1250966
1260	-108.5449	-103.9397	-4.60517	0.08761164
1270	-108.6858	-104.0806	-4.60517	0.07935421
1280	-109.8783	-105.2732	-4.60517	0.06156615
1290	-108.8752	-104.27	-4.60517	0.105408
1300	-108.9209	-104.3157	-4.60517	0.1065498
1310	-108.6298	-104.0247	-4.60517	0.08142164
1320	-109.1004	-104.4952	-4.60517	0.1105303
1330	-108.542	-103.9369	-4.60517	0.08859182
1340	-108.5479	-103.9427	-4.60517	0.08703849
1350	-108.599	-103.9938	-4.60517	0.08287999
1360	-109.1065	-104.5013	-4.60517	0.1106559
1370	-109.4687	-104.8635	-4.60517	0.06572415
1380	-108.5699	-103.9647	-4.60517	0.09369026
1390	-109.2325	-104.6273	-4.60517	0.06865716
1400	-108.5701	-103.9649	-4.60517	0.09370189
1410	-108.6037	-103.9986	-4.60517	0.08263148
1420	-108.7561	-104.1509	-4.60517	0.07730165
1430	-108.8527	-104.2475	-4.60517	0.1048212
