Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
62	0	-38.84232	-37.905	-0.9373218	0.003877245	0.07222599	0.2471395	178.7731	3.395927
63	1	-39.91722	-38.94523	-0.9719873	0.001041328	0.02011782	0.2663147	665.6374	1.389643
64	0	-37.7946	-37.38616	-0.4084387	0.01553263	0.2508388	0.1235227	44.62523	2.725224
65	1	-37.98377	-37.19221	-0.7915544	0.003851111	0.07176303	0.213696	179.9863	2.144298
66	0	-38.64973	-36.94522	-1.70451	0.04201516	0.5095311	0.3105677	16.49755	2.508687
67	1	-37.45932	-36.73427	-0.725054	0.005152123	0.09443621	0.1963063	134.5362	2.579625
68	0	-37.37478	-36.7303	-0.6444791	0.0174698	0.2757935	0.1521856	39.67688	2.611374
69	1	-39.54626	-37.61541	-1.930843	0.07092539	0.6623908	0.2588752	9.772906	2.935963
70	0	-37.22852	-36.88129	-0.3472354	0.005603043	0.1021194	0.1336852	123.7091	2.271992
71	1	-39.57356	-37.56073	-2.012836	0.06839969	0.6523376	0.291202	10.13378	3.173864
72	0	-40.8492	-39.20941	-1.639789	0.01934392	0.2988317	0.4009902	35.83283	1.931817
73	1	-38.05598	-36.95535	-1.10063	0.01811731	0.2838729	0.2379606	38.25885	3.050672
74	0	-39.37721	-37.06331	-2.313898	0.07139233	0.6641961	0.3772112	9.708986	2.880286
75	1	-41.75266	-38.99301	-2.759649	0.1079015	0.7668296	0.3517162	6.42389	2.475637
76	0	-38.76744	-38.43962	-0.3278142	0.009241312	0.1609788	0.1245456	75.00528	3.556923
77	1	-39.99837	-38.30783	-1.690545	0.06344841	0.631118	0.2262563	10.92458	2.330076
78	0	-39.62145	-37.58036	-2.041092	0.04920171	0.5566123	0.3928651	14.08787	3.143418
79	1	-43.81392	-39.24536	-4.568566	0.1802339	0.8584589	0.7727592	3.84582	2.500792
80	0	-39.16054	-37.02572	-2.134826	0.06978142	0.6578986	0.3226244	9.93312	2.832278
81	1	-41.12247	-37.823	-3.299466	0.1054745	0.7618169	0.6244843	6.571706	2.965205
82	0	-38.19052	-37.04649	-1.144032	0.01639606	0.2621088	0.2546325	42.27524	2.836124
83	1	-41.90741	-38.42428	-3.483127	0.1266833	0.7998655	0.5561227	5.471495	2.479388
84	0	-37.68493	-37.5719	-0.1130275	0.002334276	0.04435013	0.1107699	296.9431	3.153836
85	1	-40.59844	-37.6227	-2.97574	0.09198216	0.7299846	0.5466418	7.53567	2.687088
86	0	-40.0548	-37.44853	-2.606266	0.07586331	0.6806862	0.4743834	9.13679	2.624869
87	1	-41.59317	-39.46919	-2.123978	0.08817459	0.7195939	0.2461197	7.861076	3.111488
88	0	-38.2627	-36.76065	-1.502051	0.03613212	0.4649949	0.2756266	19.18369	2.838151
89	1	-39.85061	-37.52589	-2.324722	0.06306922	0.6294049	0.4288909	10.99026	2.417148
90	0	-37.67651	-36.6783	-0.9982099	0.01623441	0.2600172	0.2205849	42.69616	2.692023
91	1	-38.2343	-38.11549	-0.1188166	0.006885507	0.1234924	0.1044755	100.6676	3.110691
92	0	-38.65069	-37.99069	-0.6600021	0.00727787	0.1298927	0.1785013	95.24039	1.521038
93	1	-38.28509	-37.14514	-1.139945	0.03154494	0.425888	0.2047397	21.97333	2.157093
94	0	-40.33333	-38.55399	-1.779337	0.03060663	0.4173651	0.3932267	22.64696	1.976849
95	1	-37.86742	-36.93554	-0.9318813	0.02156855	0.3248473	0.1914456	32.13694	2.157186
96	0	-40.11137	-39.11542	-0.9959451	0.04370719	0.5212928	0.1492966	15.85888	3.143387
97	1	-38.72024	-36.92113	-1.799117	0.04769947	0.5473708	0.3150437	14.53155	2.51694
98	0	-39.04975	-37.97238	-1.077363	0.006500233	0.117145	0.273949	106.6342	2.084768
99	1	-37.28693	-36.54381	-0.7431252	0.01560115	0.2517419	0.1724562	44.42925	2.520653
100	0	-37.41401	-36.57017	-0.8438435	0.01622159	0.2598509	0.1890662	42.72991	2.45055
101	1	-37.85391	-37.4038	-0.4501117	0.001021229	0.01973466	0.1580778	678.738	1.738522
102	0	-43.79963	-41.05318	-2.746449	0.04931665	0.5573072	0.7940921	14.05503	2.927031
103	1	-37.66818	-37.00197	-0.6662145	0.001678586	0.03216293	0.1943973	412.9351	3.082314
104	0	-40.44798	-37.63543	-2.812545	0.08743699	0.7174992	0.4951219	7.927391	2.509196
105	1	-40.2298	-37.79122	-2.438575	0.07164673	0.6651727	0.4257653	9.674513	3.316601
106	0	-38.94118	-38.14729	-0.7938833	0.02161037	0.3253231	0.1666698	32.07475	3.586476
107	1	-41.8176	-38.79847	-3.019123	0.07737092	0.6859387	0.701749	8.958756	2.773652
108	0	-37.98362	-37.2687	-0.7149268	0.003543965	0.06629854	0.1987934	195.5852	1.93085
109	1	-41.48597	-38.83712	-2.648848	0.06114005	0.6204833	0.6094641	11.33704	3.033125
110	0	-37.98111	-36.96152	-1.019589	0.03292811	0.4381182	0.1780109	21.05032	2.883533
111	1	-37.83355	-36.62644	-1.207114	0.02903956	0.402708	0.2268525	23.86907	2.885369
112	0	-38.35117	-36.70821	-1.64296	0.04523801	0.5315622	0.2790318	15.32223	2.715609
113	1	-37.9745	-37.67452	-0.2999763	0.004403303	0.08147903	0.1296938	157.4153	3.446034
114	0	-42.28418	-38.9279	-3.356282	0.0958706	0.7399108	0.7570335	7.230029	2.384624
115	1	-37.92934	-37.24312	-0.686217	0.01091166	0.186235	0.1740738	63.52351	3.406918
116	0	-39.30406	-37.43809	-1.865967	0.04094884	0.5018889	0.3705252	16.92715	2.918829
117	1	-44.35045	-41.80522	-2.545228	0.1021304	0.7545802	0.3079465	6.786882	3.649294
118	0	-38.5816	-37.22724	-1.354365	0.03940593	0.4905036	0.2270374	17.58992	2.185024
119	1	-38.68336	-36.99407	-1.68929	0.05652114	0.5976396	0.2492032	12.2635	2.780409
120	0	-37.76362	-36.64374	-1.119882	0.03219914	0.4317214	0.1988272	21.52689	2.725226
121	1	-40.15144	-39.04505	-1.106392	0.01862804	0.2901559	0.2376152	37.20989	4.06526
122	0	-39.87922	-38.09146	-1.787757	0.04297252	0.5162399	0.3329942	16.13001	1.87777
123	1	-37.66633	-36.78743	-0.8788993	0.02600743	0.3727673	0.1705311	26.65189	2.841672
124	0	-37.54371	-37.06118	-0.4825238	0.01089571	0.1859988	0.1420262	63.61651	3.134601
125	1	-40.17001	-38.78807	-1.381933	0.01126129	0.1913883	0.3473235	61.55131	3.198283
126	0	-43.05338	-38.52738	-4.525996	0.1731795	0.8527336	0.8181526	4.002478	2.708638
127	1	-40.31312	-37.7704	-2.542726	0.06963759	0.6573267	0.4861033	9.953636	3.138014
128	0	-37.51012	-36.84833	-0.6617922	0.009958661	0.1719559	0.1721759	69.60245	3.168971
129	1	-36.96457	-36.60122	-0.3633416	0.002899754	0.05469557	0.141144	239.0365	2.814019
130	0	-38.30382	-36.86161	-1.442203	0.031127	0.4221148	0.2786346	22.26836	2.556611
131	1	-38.77438	-37.71456	-1.059815	0.01442502	0.2360246	0.2406749	48.05171	3.534273
132	0	-37.74768	-36.9913	-0.7563865	0.02476436	0.359857	0.1535405	27.9897	2.740749
133	1	-39.3553	-37.17198	-2.183325	0.07438229	0.6753788	0.3173472	9.318713	2.856101
134	0	-38.00053	-37.58561	-0.4149154	0.009648461	0.1672335	0.1351009	71.84018	3.358463
135	1	-41.28779	-37.88797	-3.399818	0.1201583	0.7894308	0.5610737	5.768614	3.083435
136	0	-38.58656	-36.83355	-1.753018	0.05493857	0.5892971	0.2716059	12.61677	2.811244
137	1	-41.10952	-38.4329	-2.676624	0.08119575	0.6986199	0.4720321	8.536742	2.112979
138	0	-38.59753	-37.73037	-0.8671635	0.007841622	0.1389775	0.2178471	88.39335	1.703433
139	1	-38.22299	-37.03604	-1.186956	0.04008897	0.4955923	0.1901963	17.29022	2.607886
140	0	-37.58567	-36.6903	-0.8953715	0.02555018	0.3680628	0.1744868	27.12885	2.605938
141	1	-40.48873	-38.1998	-2.288936	0.0856653	0.712354	0.3007327	8.091341	3.147969
142	0	-38.35784	-37.53836	-0.8194727	0.03168559	0.4271497	0.1483064	21.87579	2.706927
143	1	-41.40547	-39.19912	-2.206357	0.05055836	0.5647054	0.4546678	13.70984	1.716583
144	0	-40.97038	-38.21604	-2.75434	0.07337593	0.6716862	0.5697665	9.446519	2.436086
145	1	-37.57523	-37.1179	-0.4573239	0.008102617	0.1431395	0.1440653	85.54608	3.240573
146	0	-38.44373	-37.19787	-1.245861	0.03854269	0.4839597	0.2061914	17.98388	3.163358
147	1	-38.34487	-37.94097	-0.4038991	0.005765283	0.1048621	0.1411551	120.2278	3.623682
148	0	-41.46257	-38.74287	-2.719698	0.06948419	0.656715	0.5814702	9.97561	2.185152
149	1	-38.207	-37.97439	-0.2326096	0.01265212	0.2114464	0.1079088	54.78507	2.786937
150	0	-38.75211	-37.29485	-1.457257	0.02556858	0.3682531	0.3059661	27.10933	2.849063
151	1	-37.73645	-36.91853	-0.8179154	0.007881994	0.1396231	0.2072602	87.94058	3.035115
152	0	-38.23316	-37.09268	-1.140481	0.03475517	0.4536859	0.1957675	19.94371	3.11712
153	1	-40.72329	-40.14754	-0.5757485	0.007826575	0.1387367	0.1628112	88.56328	0.9550601
154	0	-37.81158	-36.89661	-0.9149675	0.01013305	0.1745945	0.2212357	68.40458	2.871335
155	1	-38.30549	-37.58354	-0.7219492	0.0274314	0.3870954	0.1428582	25.26839	2.441135
156	0	-40.04497	-39.04673	-0.9982371	0.02181555	0.3276502	0.2038675	31.77308	1.367415
157	1	-42.94719	-38.75565	-4.191536	0.1373884	0.8150141	0.9708554	5.045165	2.773918
158	0	-37.63039	-37.01858	-0.6118094	0.01892736	0.2938019	0.1442923	36.62145	2.451168
159	1	-41.84269	-38.7235	-3.119186	0.09695315	0.7425591	0.5881716	7.1493	3.493625
160	0	-43.88393	-40.47064	-3.413296	0.08279414	0.7036601	0.9640469	8.371935	2.459511
161	1	-38.22721	-37.0215	-1.205708	0.04076767	0.5005723	0.1919475	17.00237	2.650086
162	0	-39.24878	-37.31643	-1.932352	0.0658884	0.6418356	0.2783859	10.52002	3.043894
163	1	-42.66546	-38.67608	-3.989375	0.1452398	0.8247999	0.7098868	4.772431	2.47627
164	0	-39.3719	-37.68944	-1.68246	0.04988485	0.560717	0.2718317	13.89494	2.074006
165	1	-39.65893	-37.27445	-2.38448	0.0790525	0.691625	0.3632818	8.768187	3.018308
166	0	-39.63577	-39.79159	0.1558282	0.005277017	0.09657317	0.08120929	131.3521	2.982226
167	1	-39.03419	-36.93982	-2.094366	0.06264749	0.6274841	0.3426822	11.06425	2.676062
168	0	-39.1038	-37.60354	-1.500265	0.03044129	0.4158438	0.298166	22.76997	2.013323
