Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
135	1	371.4911	0	371.4911	0.0001120543
136	0	-46.64115	0	-46.64115	0.005855223
137	1	371.1672	0	371.1672	0.0001014928
138	0	-45.42153	0	-45.42153	0.007008012
139	1	371.1726	0	371.1726	0.0001015573
140	0	-45.40757	0	-45.40757	0.006965805
141	1	370.9026	0	370.9026	9.883811e-05
142	0	-46.34109	0	-46.34109	0.007858014
143	1	371.2905	0	371.2905	0.0001175927
144	0	-45.38726	0	-45.38726	0.00682166
145	1	367.0625	0	367.0625	0.0001503653
146	0	-46.28911	0	-46.28911	0.005990358
147	1	371.4988	0	371.4988	0.0001086306
148	0	-45.77515	0	-45.77515	0.007461989
149	1	370.9235	0	370.9235	9.902041e-05
150	0	-45.87976	0	-45.87976	0.006194856
151	1	368.973	0	368.973	8.867691e-05
152	0	-45.47587	0	-45.47587	0.007121134
153	1	369.1458	0	369.1458	8.932071e-05
154	0	-47.2224	0	-47.2224	0.008312518
155	1	371.0441	0	371.0441	0.0001213043
156	0	-45.44915	0	-45.44915	0.006593372
157	1	369.1448	0	369.1448	8.931674e-05
158	0	-45.38775	0	-45.38775	0.006805132
159	1	369.799	0	369.799	0.000133048
160	0	-45.84727	0	-45.84727	0.007522247
161	1	371.2187	0	371.2187	0.0001188124
162	0	-45.70193	0	-45.70193	0.007395497
163	1	371.4804	0	371.4804	0.0001075463
164	0	-45.42583	0	-45.42583	0.007019219
165	1	370.843	0	370.843	9.833773e-05
166	0	-45.68392	0	-45.68392	0.00632934
167	1	371.3399	0	371.3399	0.000103951
168	0	-46.4531	0	-46.4531	0.00792294
169	1	370.4483	0	370.4483	9.554089e-05
170	0	-45.46967	0	-45.46967	0.006558382
171	1	371.1185	0	371.1185	0.0001009344
172	0	-45.40747	0	-45.40747	0.006965455
173	1	371.4149	0	371.4149	0.0001149001
174	0	-45.77856	0	-45.77856	0.00625963
175	1	370.3088	0	370.3088	9.470412e-05
176	0	-47.08173	0	-47.08173	0.005715175
177	1	371.4307	0	371.4307	0.0001058717
178	0	-45.3884	0	-45.3884	0.006794254
179	1	371.4702	0	371.4702	0.0001071168
180	0	-45.42728	0	-45.42728	0.006638235
181	1	371.2904	0	371.2904	0.0001175943
182	0	-45.60906	0	-45.60906	0.007300157
183	1	371.3504	0	371.3504	0.0001164245
184	0	-46.09008	0	-46.09008	0.006081059
185	1	371.3504	0	371.3504	0.0001164245
