Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
70	0	-279.6374	0	-279.6374	0.09958686	0.7488038	0.185888	6.960227	-6.278365
71	1	222.9593	0	222.9593	0.1865369	0.8632157	0.003129289	3.715871	3.034597
72	0	-278.1116	0	-278.1116	0.0608829	0.6192675	0.1258665	11.38492	-6.340704
73	1	218.7341	0	218.7341	0.1716175	0.8514038	0.003547337	4.038908	3.034597
74	0	-277.6266	0	-277.6266	0.06090037	0.6193503	0.127423	11.38166	-6.462211
75	1	222.692	0	222.692	0.2239386	0.8860022	0.00347649	3.095256	3.034597
76	0	-278.8542	0	-278.8542	0.09202687	0.7301025	0.1969999	7.532008	-6.48237
77	1	223.1331	0	223.1331	0.2010488	0.8730519	0.003204097	3.447657	3.034597
78	0	-278.5876	0	-278.5876	0.07925074	0.6922837	0.1594384	8.746255	-6.296379
79	1	223.3364	0	223.3364	0.2096409	0.8782417	0.003039269	3.306355	3.034597
80	0	-277.4832	0	-277.4832	0.06607314	0.6426261	0.1386275	10.4906	-6.461936
81	1	224.2775	0	224.2775	0.1660893	0.8465026	0.002327937	4.173341	3.034597
82	0	-278.9875	0	-278.9875	0.1049086	0.7606198	0.168023	6.607153	-6.409675
83	1	224.4614	0	224.4614	0.1632443	0.8438551	0.002389628	4.246072	3.034597
84	0	-283.2672	0	-283.2672	0.09365969	0.7343483	0.219455	7.400699	-6.644827
85	1	225.1172	0	225.1172	0.1143151	0.7791866	0.001639983	6.06348	3.050298
86	0	-282.3989	0	-282.3989	0.09691945	0.7424774	0.1613122	7.151786	-6.20835
87	1	222.4285	0	222.4285	0.1181521	0.786015	0.002322853	5.866566	3.03937
88	0	-278.0731	0	-278.0731	0.05620337	0.5959864	0.1170221	12.33284	-6.389477
89	1	223.6453	0	223.6453	0.2219937	0.8850049	0.002981821	3.122373	3.03937
90	0	-280.7615	0	-280.7615	0.1135006	0.777685	0.2499427	6.10699	-6.429111
91	1	224.4736	0	224.4736	0.1590217	0.8397571	0.002660018	4.358823	3.03937
92	0	-278.3904	0	-278.3904	0.09520948	0.7382695	0.1809041	7.280233	-6.518786
93	1	225.6282	0	225.6282	0.1582169	0.8389523	0.002352148	4.380993	3.044643
94	0	-278.1638	0	-278.1638	0.05181827	0.5720142	0.1179838	13.3765	-6.468654
95	1	224.8134	0	224.8134	0.1876025	0.863989	0.002535735	3.694764	3.044643
96	0	-278.0449	0	-278.0449	0.0820201	0.7012377	0.1576344	8.450943	-6.329888
97	1	225.0039	0	225.0039	0.1285378	0.8026555	0.001701332	5.392554	3.044643
98	0	-279.3896	0	-279.3896	0.1090322	0.7690995	0.1731968	6.357271	-6.469436
99	1	225.2716	0	225.2716	0.1684363	0.8486216	0.002603398	4.115188	3.044643
100	0	-278.2814	0	-278.2814	0.09316343	0.7330705	0.1897651	7.440121	-6.381974
101	1	223.675	0	223.675	0.2218977	0.8849552	0.002885702	3.123725	3.044304
102	0	-280.1776	0	-280.1776	0.09892569	0.7472619	0.1522774	7.006746	-6.512135
103	1	221.1675	0	221.1675	0.1917183	0.8668961	0.002350815	3.615446	3.056597
104	0	-278.7641	0	-278.7641	0.06839577	0.6523216	0.1407236	10.13436	-6.280639
105	1	222.4463	0	222.4463	0.2097936	0.8783301	0.003167027	3.303948	3.056597
106	0	-278.2309	0	-278.2309	0.1062255	0.7633889	0.1937762	6.525245	-6.433531
107	1	223.1549	0	223.1549	0.1820981	0.8598994	0.002805216	3.806448	3.056597
108	0	-280.1861	0	-280.1861	0.09796405	0.7449887	0.1464463	7.075526	-6.405346
109	1	222.1101	0	222.1101	0.1875212	0.8639303	0.002409986	3.696366	3.056597
110	0	-278.605	0	-278.605	0.09080028	0.7268331	0.1912159	7.633756	-6.368089
111	1	222.2254	0	222.2254	0.1583947	0.8391307	0.001990478	4.376077	3.056597
112	0	-281.824	0	-281.824	0.1064702	0.7638971	0.204643	6.510246	-6.216694
113	1	223.4842	0	223.4842	0.1679072	0.8481489	0.002367517	4.128156	3.056597
114	0	-281.1693	0	-281.1693	0.1210715	0.7909519	0.2174631	5.725108	-6.268836
115	1	219.4866	0	219.4866	0.1701995	0.8501761	0.003367499	4.072558	3.056597
116	0	-279.1607	0	-279.1607	0.07609677	0.6815094	0.1699797	9.10876	-6.305123
117	1	222.2064	0	222.2064	0.2199863	0.8839572	0.003218419	3.150865	3.056597
118	0	-277.5932	0	-277.5932	0.07420766	0.6747431	0.1546333	9.340642	-6.387897
119	1	224.1817	0	224.1817	0.1343336	0.8109186	0.00208757	5.159894	3.056597
120	0	-277.4078	0	-277.4078	0.08040795	0.6960809	0.1492595	8.620381	-6.450352
121	1	224.4493	0	224.4493	0.1277943	0.8015458	0.002268374	5.42393	3.046172
122	0	-277.608	0	-277.608	0.07019906	0.6595502	0.1313074	9.874024	-6.407843
123	1	225.6847	0	225.6847	0.1143808	0.779307	0.001787554	6.059996	3.046172
124	0	-279.2206	0	-279.2206	0.07675788	0.6838208	0.1389044	9.030307	-6.583118
125	1	225.3701	0	225.3701	0.1089315	0.768899	0.001799208	6.363147	3.046172
126	0	-278.5587	0	-278.5587	0.06104045	0.6200132	0.1323513	11.35554	-6.564909
127	1	225.6356	0	225.6356	0.1451541	0.8246984	0.002063923	4.77525	3.047137
128	0	-278.2142	0	-278.2142	0.06603301	0.6424546	0.121141	10.49698	-6.480869
129	1	225.1429	0	225.1429	0.1489124	0.829043	0.002429101	4.65473	3.047137
130	0	-278.4126	0	-278.4126	0.05211655	0.573716	0.1142276	13.29994	-6.504681
131	1	225.7858	0	225.7858	0.1286521	0.8028251	0.001951952	5.387765	3.047137
132	0	-279.4119	0	-279.4119	0.05504035	0.5898419	0.1100234	12.59344	-6.562216
133	1	225.0581	0	225.0581	0.1056028	0.7620869	0.001739224	6.563718	3.038454
134	0	-277.8402	0	-277.8402	0.07276226	0.6693993	0.1593579	9.526191	-6.433254
135	1	224.9799	0	224.9799	0.1001072	0.7500053	0.00162209	6.92405	3.038454
136	0	-277.5594	0	-277.5594	0.09050506	0.7260357	0.1668687	7.658657	-6.424657
137	1	223.9869	0	223.9869	0.1017066	0.7536345	0.001857951	6.815163	3.038454
138	0	-281.7934	0	-281.7934	0.08770126	0.7182528	0.1639171	7.903503	-6.185508
139	1	224.8225	0	224.8225	0.1790895	0.85756	0.002654831	3.870395	3.038454
140	0	-278.9632	0	-278.9632	0.1096273	0.7702778	0.2004021	6.322763	-6.344014
141	1	224.6151	0	224.6151	0.1528411	0.8333676	0.002007804	4.535083	3.038454
142	0	-279.1429	0	-279.1429	0.1207433	0.7904077	0.209932	5.740666	-6.393864
143	1	225.5082	0	225.5082	0.1353152	0.8122534	0.002007804	5.122462	3.038454
144	0	-279.3637	0	-279.3637	0.1214408	0.7915613	0.2007207	5.707697	-6.413741
145	1	225.5386	0	225.5386	0.122747	0.7936903	0.001923049	5.646957	3.039318
146	0	-280.7192	0	-280.7192	0.1450538	0.8245795	0.2582701	4.778553	-6.461088
147	1	224.6141	0	224.6141	0.1009648	0.7519631	0.001419178	6.865238	3.042989
148	0	-280.8375	0	-280.8375	0.1158258	0.7819228	0.2505402	5.984393	-6.366469
149	1	225.5398	0	225.5398	0.10791	0.7668467	0.001717877	6.423385	3.042989
150	0	-279.2792	0	-279.2792	0.1165114	0.7831439	0.2035868	5.949177	-6.498043
151	1	225.2092	0	225.2092	0.1001201	0.7500349	0.001651422	6.92316	3.042989
152	0	-278.9055	0	-278.9055	0.1091766	0.7693864	0.2090482	6.348862	-6.489986
153	1	221.2947	0	221.2947	0.1607815	0.8414902	0.002618415	4.311113	3.062771
154	0	-277.9319	0	-277.9319	0.08333482	0.705332	0.1428866	8.317618	-6.429537
155	1	224.6591	0	224.6591	0.1472553	0.8271533	0.002025225	4.707112	3.035783
156	0	-278.5869	0	-278.5869	0.1079363	0.7669	0.2042113	6.42182	-6.469416
157	1	220.5017	0	220.5017	0.2143691	0.8809218	0.00407743	3.233428	3.042611
158	0	-280.3103	0	-280.3103	0.1063475	0.7636426	0.1839534	6.517756	-6.578658
159	1	224.8033	0	224.8033	0.131103	0.8063956	0.001883305	5.287043	3.034865
160	0	-278.278	0	-278.278	0.09741069	0.7436638	0.1625933	7.11572	-6.423096
161	1	224.4027	0	224.4027	0.1003698	0.7506078	0.0016728	6.905934	3.034865
162	0	-280.7073	0	-280.7073	0.05726355	0.6014595	0.101153	12.10451	-6.521744
163	1	223.818	0	223.818	0.0871686	0.7167302	0.001401138	7.951799	3.034918
164	0	-279.0476	0	-279.0476	0.04433248	0.5255293	0.1072448	15.6352	-6.504532
165	1	225.2044	0	225.2044	0.1169994	0.7840053	0.001734089	5.924365	3.037118
166	0	-277.5382	0	-277.5382	0.062966	0.6289363	0.1340567	11.00828	-6.45299
167	1	224.9653	0	224.9653	0.1365057	0.8138482	0.002217258	5.077788	3.037118
168	0	-277.4574	0	-277.4574	0.07862913	0.6902101	0.1555837	8.815399	-6.472396
169	1	223.6293	0	223.6293	0.1169107	0.7838492	0.002148209	5.92886	3.037118
170	0	-277.9002	0	-277.9002	0.07218326	0.6672169	0.1464437	9.602602	-6.527282
171	1	225.7254	0	225.7254	0.134768	0.8115115	0.001962519	5.143262	3.040897
172	0	-278.3608	0	-278.3608	0.04979189	0.560162	0.1184364	13.92088	-6.472529
173	1	224.7052	0	224.7052	0.1347622	0.8115036	0.00232308	5.143483	3.040897
174	0	-277.3885	0	-277.3885	0.07340312	0.6717869	0.15072	9.44302	-6.43995
175	1	225.7956	0	225.7956	0.1234294	0.7947863	0.001924962	5.615737	3.043437
176	0	-279.5798	0	-279.5798	0.09980138	0.7493004	0.15402	6.945266	-6.462265
