Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
30	0	-68.91769	-86.28666	17.36897	0	0	1	1	0.007299733	0.001574603	0.0002124557	0.006236474	0.04719051	0.04719051	0.009746978	0.009746978	0.297675	0.106983	0.237777	0.357565
31	1	-77.71794	-89.98912	12.27118	0	1	1	1	0.009351969	0.002004277	0.004794033	0.004794033	0.032956	0.032956	0.02277703	0.02277703	0.0884798	0.0604821	0.529168	0.32187
32	0	-75.88284	-88.29208	12.40924	1	1	1	0	0.007299733	0.007299733	0.0002416618	0.0002416618	0.04636528	0.04636528	0.01152523	0.005661713	0.31663	0.18081	0.401864	0.100697
33	1	-67.90609	-88.64249	20.7364	0	0	1	0	0.008567598	0.003122604	0.004794033	0.0001383248	0.03880095	0.03880095	0.02277703	0.004335426	0.0884798	0.0604821	0.529168	0.32187
34	0	-75.40917	-88.38917	12.98	1	0	1	1	0.006138442	0.006138442	0.0005672662	0.004746413	0.04847368	0.04847368	0.007903041	0.007903041	0.296145	0.233808	0.375865	0.0941823
35	1	-71.50098	-88.85614	17.35516	0	0	0	1	0.01057665	0.00545738	0.003309667	0.001172332	0.0545749	0.003311837	0.02347412	0.02347412	0.186256	0.0354158	0.309859	0.46847
36	0	-71.21454	-85.23798	14.02344	0	0	1	1	0.006138442	0.0004426623	0.0004104618	0.003468104	0.070322	0.070322	0.01061573	0.01061573	0.603267	0.0966473	0.127409	0.172676
37	1	-82.93682	-91.78537	8.848542	1	1	1	0	0.01217118	0.01217118	0.005638247	0.005638247	0.04686502	0.04686502	0.02347412	0.003312476	0.299577	0.0569634	0.498383	0.145077
38	0	-75.02585	-88.04309	13.01725	1	0	1	1	0.004046836	0.004046836	0.0004081829	0.003326535	0.04447246	0.04447246	0.01536175	0.01536175	0.603267	0.0966473	0.127409	0.172676
39	1	-74.84533	-89.59324	14.7479	0	0	1	1	0.008152548	0.00517151	0.006990331	0.00143006	0.04686502	0.04686502	0.01864396	0.01864396	0.465991	0.0886065	0.219735	0.225667
40	0	-67.66678	-86.18156	18.51478	0	0	1	1	0.00513994	0.001290661	0.0004081829	0.003059541	0.04447246	0.04447246	0.01133587	0.01133587	0.135474	0.0201023	0.0387801	0.805644
41	1	-77.98215	-90.14319	12.16104	0	1	1	1	0.008152548	0.00517151	0.005281296	0.005281296	0.03977927	0.03977927	0.01412869	0.01412869	0.46835	0.089055	0.220847	0.221748
42	0	-69.11855	-85.11373	15.99518	0	0	1	1	0.004518607	0.00119161	0.0005613792	0.001864717	0.06064674	0.06064674	0.01133587	0.01133587	0.132884	0.019718	0.0571563	0.790242
43	1	-67.78044	-87.84259	20.06215	0	0	1	0	0.005704675	0.004404482	0.00459293	0.002278731	0.05218489	0.05218489	0.01412869	0.003098314	0.156959	0.195923	0.321529	0.325589
44	0	-76.94281	-89.67906	12.73625	1	0	1	1	0.005585903	0.005585903	0.0006775876	0.01302511	0.04192271	0.04192271	0.008011798	0.008011798	0.0345085	0.334312	0.0425725	0.588607
45	1	-75.20066	-88.72615	13.52549	0	0	1	1	0.008567427	0.004404482	0.005798986	0.002052893	0.04943069	0.04943069	0.02399124	0.02399124	0.156959	0.195923	0.321529	0.325589
46	0	-71.19818	-90.60429	19.40611	1	0	1	0	0.004834377	0.004834377	0.001000926	0.0015997	0.04192271	0.04192271	0.005375131	0.005875327	0.0309804	0.33901	0.0508921	0.579117
47	1	-75.03779	-90.82062	15.78283	1	0	1	0	0.007040407	0.007040407	0.004548468	0.0007831714	0.03485128	0.03485128	0.02076158	0.01334868	0.122713	0.371362	0.251376	0.25455
48	0	-77.42287	-89.52298	12.10012	1	1	1	0	0.004629953	0.004629953	0.002126252	0.002126252	0.04192271	0.04192271	0.006797628	0.01738528	0.0309804	0.33901	0.0508921	0.579117
49	1	-72.08723	-89.65457	17.56734	0	0	1	1	0.005681621	0.002846883	0.004548468	0.0007831714	0.03485128	0.03485128	0.02241464	0.02241464	0.148831	0.232844	0.409722	0.208603
50	0	-72.85086	-89.97308	17.12222	0	0	1	1	0.00626466	0.002281027	0.002126252	0.00495323	0.05412217	0.05412217	0.003924819	0.003924819	0.0281354	0.309051	0.053542	0.609271
51	1	-76.68305	-90.48017	13.79712	1	0	1	1	0.008471374	0.008471374	0.00365993	0.0004522687	0.03405521	0.03405521	0.01651604	0.01651604	0.129072	0.201931	0.355325	0.313673
52	0	-72.22087	-88.72597	16.5051	0	1	1	0	0.00626466	0.001290788	0.004203229	0.004203229	0.05412217	0.05412217	0.005796926	0.005524375	0.015951	0.181065	0.114353	0.688631
53	1	-78.42074	-87.58669	9.165946	1	0	1	1	0.008471374	0.008471374	0.002979337	0.001530204	0.05419216	0.05419216	0.02247239	0.02247239	0.129072	0.201931	0.355325	0.313673
54	0	-69.97988	-87.43736	17.45748	0	0	1	1	0.007054172	0.001277921	0.001957181	0.001546106	0.05412217	0.05412217	0.005796926	0.005796926	0.0168033	0.190739	0.0670344	0.725424
