Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
0	-71.01409	-100.9055	29.89141	0	0	1	0	0.003818734	0.005542585	0.0002613442	3.697936e-05	0.01297768	0.01297768	0.005676893	0.001854444	0.348389	0.189976	0.383734	0.0779015
1	-79.62895	-99.42296	19.794	1	1	1	0	0.003107929	0.003107929	0.0001786862	0.0001786862	0.01171638	0.01171638	0.01063941	0.003209837	0.32881	0.1793	0.362168	0.129723
2	-68.14512	-95.97163	27.82651	1	0	0	0	0.005062325	0.005062325	0.0001523361	0.001623377	0.01644684	0.001014039	0.01404295	0.003638177	0.202224	0.213115	0.430472	0.154188
3	-66.07168	-93.89341	27.82173	0	0	1	0	0.005890963	0.001709782	9.244054e-05	0.001419383	0.01644684	0.01644684	0.01441334	0.002034642	0.146344	0.154226	0.311522	0.387908
4	-66.49282	-90.36297	23.87015	0	0	1	0	0.005365358	0.003488026	0.0001521977	0.01271766	0.03104419	0.03104419	0.01057369	0.001269594	0.146344	0.154226	0.311522	0.387908
5	-69.99458	-87.4831	17.48852	0	0	1	1	0.01175782	0.00221777	0.0001241316	0.003546442	0.04334327	0.04334327	0.01058749	0.01058749	0.265533	0.185236	0.0833257	0.465905
6	-69.4584	-90.39819	20.93979	0	0	0	1	0.01297625	0.002185687	0.0001207313	0.00320242	0.05279992	0.0002850264	0.0098025	0.0098025	0.287136	0.200306	0.0901045	0.422454
7	-75.50037	-88.72934	13.22897	0	1	1	1	0.01228429	0.002185687	0.0001831313	0.0001831313	0.0419491	0.0419491	0.0098025	0.0098025	0.18799	0.171373	0.0528341	0.587803
8	-69.97749	-87.24166	17.26418	0	0	1	1	0.01109485	0.001789758	0.0002218912	0.004542029	0.04041673	0.04041673	0.01479493	0.01479493	0.262287	0.239103	0.0737151	0.424895
9	-77.53951	-87.26012	9.720606	1	0	1	1	0.01075348	0.01075348	0.0002842853	0.001755768	0.05888431	0.05888431	0.01479493	0.01479493	0.255008	0.260219	0.0716693	0.413103
10	-79.04883	-89.40385	10.35503	1	1	1	0	0.009848397	0.009848397	0.0002330378	0.0002330378	0.04336622	0.04336622	0.01260533	0.01679087	0.255008	0.260219	0.0716693	0.413103
11	-77.71157	-88.91982	11.20825	1	1	1	0	0.009848397	0.009848397	0.0002519268	0.0002519268	0.05043082	0.05043082	0.01079057	0.006641637	0.255008	0.260219	0.0716693	0.413103
12	-66.35733	-85.59835	19.24102	0	0	1	0	0.01054271	0.001019501	0.0003882624	0.005530404	0.05100313	0.05100313	0.01046293	0.01214269	0.122224	0.121663	0.0516016	0.704512
13	-66.0597	-87.40223	21.34253	0	0	1	0	0.01054271	0.000804085	0.0004877783	0.005530404	0.04719051	0.04719051	0.006557015	0.007956344	0.0312902	0.0944337	0.0400528	0.834223
14	-72.70333	-89.25772	16.55439	0	0	1	1	0.01054271	0.006465297	0.0002423958	0.006236474	0.04719051	0.04719051	0.006242802	0.006242802	0.0741276	0.0787475	0.0388089	0.808316
15	-68.91769	-86.28666	17.36897	0	0	1	1	0.007299733	0.001574603	0.0002124557	0.006236474	0.04719051	0.04719051	0.009746978	0.009746978	0.297675	0.106983	0.237777	0.357565
16	-75.88284	-88.29208	12.40924	1	1	1	0	0.007299733	0.007299733	0.0002416618	0.0002416618	0.04636528	0.04636528	0.01152523	0.005661713	0.31663	0.18081	0.401864	0.100697
17	-75.40917	-88.38917	12.98	1	0	1	1	0.006138442	0.006138442	0.0005672662	0.004746413	0.04847368	0.04847368	0.007903041	0.007903041	0.296145	0.233808	0.375865	0.0941823
18	-71.21454	-85.23798	14.02344	0	0	1	1	0.006138442	0.0004426623	0.0004104618	0.003468104	0.070322	0.070322	0.01061573	0.01061573	0.603267	0.0966473	0.127409	0.172676
19	-75.02585	-88.04309	13.01725	1	0	1	1	0.004046836	0.004046836	0.0004081829	0.003326535	0.04447246	0.04447246	0.01536175	0.01536175	0.603267	0.0966473	0.127409	0.172676
20	-67.66678	-86.18156	18.51478	0	0	1	1	0.00513994	0.001290661	0.0004081829	0.003059541	0.04447246	0.04447246	0.01133587	0.01133587	0.135474	0.0201023	0.0387801	0.805644
21	-69.11855	-85.11373	15.99518	0	0	1	1	0.004518607	0.00119161	0.0005613792	0.001864717	0.06064674	0.06064674	0.01133587	0.01133587	0.132884	0.019718	0.0571563	0.790242
22	-76.94281	-89.67906	12.73625	1	0	1	1	0.005585903	0.005585903	0.0006775876	0.01302511	0.04192271	0.04192271	0.008011798	0.008011798	0.0345085	0.334312	0.0425725	0.588607
23	-71.19818	-90.60429	19.40611	1	0	1	0	0.004834377	0.004834377	0.001000926	0.0015997	0.04192271	0.04192271	0.005375131	0.005875327	0.0309804	0.33901	0.0508921	0.579117
24	-77.42287	-89.52298	12.10012	1	1	1	0	0.004629953	0.004629953	0.002126252	0.002126252	0.04192271	0.04192271	0.006797628	0.01738528	0.0309804	0.33901	0.0508921	0.579117
