Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
31	-67.43741	-90.996	23.55859	0	1	0	0	0.008102779	0.0006121025	0.003578862	0.003578862	0.02931636	0.003275105	0.007578298	0.01392934	0.323837	0.200109	0.444639	0.0314148
32	-64.4046	-88.85853	24.45393	0	1	0	0	0.006734068	0.0009008114	0.001033563	0.001033563	0.0350162	0.006756444	0.007651755	0.003178605	0.300616	0.18576	0.484462	0.0291622
33	-74.11242	-89.31751	15.20509	0	1	1	1	0.006289154	0.001267349	0.001158204	0.001158204	0.0387347	0.0387347	0.007651755	0.007651755	0.51293	0.316955	0.143099	0.0270155
34	-74.18901	-87.57558	13.38657	0	1	1	1	0.006289154	0.00383091	0.001652271	0.001652271	0.04345735	0.04345735	0.01027353	0.01027353	0.315265	0.194812	0.473318	0.0166047
35	-70.66572	-91.63708	20.97136	1	0	1	0	0.003829635	0.003829635	0.002345047	0.001829757	0.02784377	0.02784377	0.01375252	0.002054122	0.219787	0.43586	0.329974	0.0143783
36	-75.58619	-89.51277	13.92658	1	1	1	0	0.007208769	0.007208769	0.002345047	0.002345047	0.03617378	0.03617378	0.01375252	0.00293418	0.26726	0.26437	0.401246	0.0671234
37	-80.70887	-88.80825	8.099385	1	1	1	1	0.006072498	0.006072498	0.003003087	0.003003087	0.04717413	0.04717413	0.009959415	0.009959415	0.446348	0.186585	0.283188	0.0838793
38	-67.86169	-91.30998	23.44829	0	1	0	0	0.004313204	0.002248971	0.002747056	0.002747056	0.03033559	0.008173778	0.009240992	0.009964199	0.25024	0.252675	0.383495	0.11359
39	-66.89217	-92.31201	25.41984	0	1	0	0	0.005750499	0.003451022	0.003269177	0.003269177	0.02642162	0.007312231	0.009240992	0.0003008562	0.284247	0.065128	0.435611	0.215013
40	-76.93302	-92.28262	15.3496	1	1	0	1	0.00418256	0.00418256	0.002343598	0.002343598	0.02642162	0.00470442	0.01662233	0.01662233	0.348333	0.0798118	0.308365	0.26349
41	-67.68403	-90.27965	22.59562	0	0	1	0	0.004527364	0.003821695	0.00213213	0.004501745	0.03049083	0.03049083	0.01698313	0.009444206	0.399882	0.10658	0.411787	0.0817512
42	-66.7564	-89.99991	23.24351	0	0	0	1	0.006893316	0.002797018	0.001642416	0.005765338	0.03188288	0.002231054	0.01698313	0.01698313	0.54041	0.142545	0.288552	0.0284918
43	-78.3525	-94.40702	16.05452	0	1	1	1	0.003364016	0.002324049	0.001642416	0.001642416	0.01827558	0.01827558	0.02463631	0.02463631	0.234335	0.172846	0.580465	0.0123547
44	-75.05729	-95.1227	20.06542	0	0	1	1	0.003401177	0.002111657	0.001412249	0.006520129	0.01875537	0.01875537	0.02463631	0.02463631	0.500615	0.179828	0.293164	0.0263937
45	-77.06147	-94.351	17.28952	1	1	0	0	0.003759215	0.003759215	0.002110719	0.002110719	0.02049419	0.01282406	0.02463631	0.008890707	0.232898	0.276232	0.450327	0.0405431
46	-72.7858	-93.89305	21.10725	1	0	0	1	0.003759215	0.003759215	0.003359083	1.008346e-05	0.02049419	0.008829803	0.01442518	0.01442518	0.237383	0.262293	0.459	0.0413239
47	-73.36262	-95.13933	21.7767	0	0	1	1	0.004290835	0.005674962	0.004110143	1.529198e-05	0.02378148	0.02378148	0.009175501	0.009175501	0.894079	0.0624678	0.0336115	0.00984172
48	-70.31092	-93.6128	23.30189	1	0	0	0	0.004290835	0.004290835	0.008648584	2.345735e-05	0.03396853	0.004498832	0.008999501	0.007431469	0.29547	0.198992	0.474187	0.0313509
49	-69.70821	-92.73229	23.02408	1	0	0	0	0.004290835	0.004290835	0.006379855	2.768576e-05	0.03396853	0.004514316	0.008882308	0.01138674	0.305996	0.152572	0.36357	0.177862
50	-65.86311	-91.27759	25.41448	0	0	0	0	0.01368553	0.003291177	0.003917081	3.391686e-05	0.04162315	0.003383245	0.008882308	0.01049777	0.13465	0.281377	0.159985	0.423987
51	-68.66382	-89.59977	20.93595	0	0	1	0	0.009406349	0.005499283	0.003381044	0.003561363	0.05058302	0.05058302	0.006783888	0.002179588	0.167619	0.350271	0.199156	0.282955
52	-77.95358	-90.68013	12.72655	1	1	1	0	0.009406349	0.009406349	0.003381044	0.003381044	0.03943079	0.03943079	0.01255796	0.004502432	0.198967	0.461129	0.262188	0.0777169
53	-74.33104	-87.1033	12.77226	0	1	1	1	0.009202716	0.0008670641	0.002734322	0.002734322	0.0443617	0.0443617	0.01185129	0.01185129	0.167599	0.479186	0.272454	0.0807601
54	-75.28615	-87.44896	12.16281	0	1	1	1	0.01375435	0.0007562025	0.002484174	0.002484174	0.04312693	0.04312693	0.01238154	0.01238154	0.311698	0.031402	0.506705	0.150196
55	-74.86936	-87.79198	12.92262	0	1	1	1	0.01284141	0.0007009031	0.00227449	0.00227449	0.04312693	0.04312693	0.009213322	0.009213322	0.382604	0.0589197	0.516588	0.0418889
56	-66.42813	-88.67216	22.24403	0	0	1	0	0.01376596	0.0006337216	0.00227449	0.005865356	0.04194452	0.04194452	0.009213322	0.0002148515	0.135051	0.103379	0.377464	0.384105
57	-68.37988	-89.83133	21.45145	0	0	0	1	0.01376596	0.0009656816	0.002239765	0.009117751	0.03882973	0.001459067	0.0120679	0.0120679	0.0814637	0.109784	0.40085	0.407902
58	-73.06351	-90.73085	17.66734	0	1	0	1	0.01376596	0.0006554723	0.00362884	0.00362884	0.03061331	0.006742186	0.0151483	0.0151483	0.0817884	0.106236	0.402448	0.409528
59	-74.90285	-89.15587	14.25301	0	0	1	1	0.01376596	0.0006686567	0.003293035	0.01400676	0.03971008	0.03971008	0.01863975	0.01863975	0.0343234	0.0445831	0.749231	0.171863
60	-70.31032	-89.33072	19.02041	0	0	0	1	0.01376596	0.0005511961	0.002683616	0.0001777812	0.03418381	0.01692054	0.02406866	0.02406866	0.0682886	0.088701	0.501078	0.341932
61	-71.38976	-89.52735	18.13759	0	1	0	1	0.005944339	0.0007007275	0.002683616	0.002683616	0.02714642	0.01264339	0.0187457	0.0187457	0.0727671	0.0945182	0.53394	0.298775
62	-70.16846	-89.46	19.29154	1	0	1	0	0.005128494	0.005128494	0.002116935	0.002065917	0.03288501	0.03288501	0.0187457	0.0003214615	0.0739945	0.0792445	0.542947	0.303814
63	-66.15692	-87.31981	21.16289	0	0	0	0	0.003521655	9.235208e-05	0.002945685	0.002180606	0.08244421	0.002866222	0.01526137	0.0003214615	0.137737	0.0947195	0.202008	0.565536
64	-63.96567	-88.15309	24.18742	0	0	0	0	0.003111222	5.252889e-05	0.002945685	0.001723041	0.05951684	0.003589138	0.01644016	0.004954453	0.141796	0.0680427	0.20796	0.582201
65	-76.5581	-86.25908	9.700988	0	1	1	1	0.007765034	0.005226437	0.002784059	0.002784059	0.05951684	0.05951684	0.01129262	0.01129262	0.15753	0.0755931	0.120071	0.646805
66	-70.93919	-85.19011	14.25092	0	1	1	0	0.00496891	0.002577553	0.001274616	0.001274616	0.05951684	0.05951684	0.01732019	0.004438105	0.0709965	0.0325234	0.400228	0.496252
67	-71.48315	-85.59487	14.11172	0	0	1	1	0.009739061	0.002978136	0.001274616	0.006927351	0.05265313	0.05265313	0.01732019	0.01732019	0.103781	0.0475421	0.123265	0.725412
68	-69.87121	-85.52091	15.6497	0	0	1	1	0.009739061	0.003321771	0.001382853	0.001811512	0.05265313	0.05265313	0.01318676	0.01318676	0.108563	0.0497327	0.0828676	0.758837
69	-74.31555	-88.2891	13.97355	0	1	1	1	0.004702989	0.002835572	0.001188494	0.001188494	0.04279635	0.04279635	0.01062222	0.01062222	0.619762	0.0753947	0.125627	0.179216
70	-74.20933	-87.9913	13.78197	0	1	1	1	0.006220277	0.00241415	0.001188494	0.001188494	0.04279635	0.04279635	0.01062222	0.01062222	0.589203	0.173115	0.0673027	0.170379
