state	power	likelihood
1260	1	-136.654
1270	1	-135.276
1280	1	-137.744
1290	1	-138.115
1300	1	-135.655
1310	1	-137.106
1320	1	-136.028
1330	1	-136.346
1340	1	-135.007
1350	1	-140.876
1360	1	-135.21
1370	1	-136.62
1380	1	-136.836
1390	1	-135.908
1400	1	-137.477
1410	1	-135.455
1420	1	-136.319
1430	1	-137.847
1440	1	-137.89
1450	1	-136.435
1460	1	-135.67
1470	1	-136.999
1480	1	-135.764
1490	1	-138.93
1500	1	-135.964
1510	1	-137.036
1520	1	-137.862
1530	1	-135.983
1540	1	-135.521
1550	1	-136.009
1560	1	-136.187
1570	1	-137.508
1580	1	-137.869
1590	1	-137.611
1600	1	-136.606
1610	1	-138.946
1620	1	-135.879
1630	1	-136.474
1640	1	-135.934
1650	1	-135.143
1660	1	-136.632
1670	1	-136.804
1680	1	-135.955
1690	1	-138.833
1700	1	-138.323
1710	1	-137.584
1720	1	-135.095
1730	1	-135.351
1740	1	-137.492
1750	1	-142.394
1760	1	-136.879
1770	1	-135.881
1780	1	-135.918
1790	1	-135.79
1800	1	-135.763
1810	1	-135.845
1820	1	-134.909
1830	1	-137.402
1840	1	-136.812
1850	1	-135.309
1860	1	-137.541
1870	1	-137.856
1880	1	-140.486
1890	1	-136.04
1900	1	-136.644
1910	1	-137.424
1920	1	-135.405
1930	1	-136.789
1940	1	-136.904
1950	1	-135.371
1960	1	-136.602
1970	1	-136.815
1980	1	-135.719
1990	1	-136.621
2000	1	-136.843
2010	1	-138.224
2020	1	-136.348
2030	1	-136.064
2040	1	-137.156
2050	1	-137.274
2060	1	-139.612
2070	1	-136.062
2080	1	-136.247
2090	1	-136.396
2100	1	-135.835
2110	1	-135.005
2120	1	-137.078
2130	1	-136.655
2140	1	-138.227
2150	1	-137.668
2160	1	-136.175
2170	1	-137.289
2180	1	-138.712
2190	1	-136.168
2200	1	-136.303
2210	1	-136.97
2220	1	-135.222
2230	1	-136.242
2240	1	-137.163
2250	1	-138.816
2260	1	-137.957
2270	1	-136.673
2280	1	-135.698
2290	1	-139.787
2300	1	-136.215
2310	1	-136.3
2320	1	-136.079
2330	1	-136.249
2340	1	-136.587
2350	1	-136.633
2360	1	-137.136
2370	1	-135.642
2380	1	-135.7
2390	1	-137.053
2400	1	-138.231
2410	1	-138.328
2420	1	-135.943
2430	1	-135.482
2440	1	-135.749
2450	1	-136.219
2460	1	-136.911
2470	1	-136.002
2480	1	-141.957
2490	1	-135.345
2500	1	-135.783
2510	1	-137.531
2520	1	-136.436
2530	1	-135.126
2540	1	-135.099
2550	1	-135.482
2560	1	-135.636
2570	1	-138.51
2580	1	-137.612
2590	1	-136.425
2600	1	-140.933
2610	1	-137.089
2620	1	-134.779
2630	1	-137.139
2640	1	-135.796
2650	1	-136.035
2660	1	-136.64
2670	1	-137.194
2680	1	-135.133
2690	1	-138.906
2700	1	-140.72
2710	1	-135.859
2720	1	-136.98
2730	1	-135.728
2740	1	-135.829
2750	1	-136.921
2760	1	-135.594
2770	1	-135.882
2780	1	-135.791
2790	1	-139.85
2800	1	-139.577
2810	1	-136.911
2820	1	-136.377
2830	1	-137.735
2840	1	-135.579
2850	1	-135.071
2860	1	-137.342
2870	1	-138.612
2880	1	-137.127
2890	1	-136.429
2900	1	-138.305
2910	1	-136.526
2920	1	-138.651
2930	1	-135.078
2940	1	-135.609
2950	1	-138.772
2960	1	-135.195
2970	1	-136.765
2980	1	-135.806
2990	1	-135.57
3000	1	-136.167
3010	1	-135.139
3020	1	-137.361
3030	1	-136.693
3040	1	-136.445
3050	1	-138.814
3060	1	-136.249
3070	1	-136.343
3080	1	-136.177
3090	1	-135.303
3100	1	-135.661
3110	1	-137.371
3120	1	-136.756
3130	1	-135.794
3140	1	-136.062
3150	1	-137.209
3160	1	-135.859
3170	1	-136.463
3180	1	-135.863
3190	1	-137.475
3200	1	-136.433
3210	1	-135.763
3220	1	-136.265
3230	1	-135.429
3240	1	-137.191
3250	1	-137.099
3260	1	-137.401
3270	1	-136.422
3280	1	-138.566
3290	1	-135.623
3300	1	-140.64
3310	1	-135.877
3320	1	-136.941
3330	1	-136.681
3340	1	-136.989
3350	1	-136.293
3360	1	-136.019
3370	1	-138.809
3380	1	-136.21
3390	1	-136.276
3400	1	-136.453
3410	1	-135.111
3420	1	-135.226
3430	1	-136.873
3440	1	-134.96
3450	1	-136.38
3460	1	-135.631
3470	1	-136.404
3480	1	-137.597
3490	1	-138.489
3500	1	-135.816
3510	1	-136.625
3520	1	-139.448
3530	1	-137.888
3540	1	-138.468
3550	1	-136.337
3560	1	-135.836
3570	1	-137.101
3580	1	-139.646
3590	1	-140.99
3600	1	-135.86
3610	1	-135.119
3620	1	-136.723
3630	1	-136.626
3640	1	-135.52
3650	1	-136.678
3660	1	-135.958
3670	1	-136
3680	1	-136.566
3690	1	-136.659
3700	1	-137.39
3710	1	-135.93
3720	1	-135.879
3730	1	-137.017
3740	1	-136.233
3750	1	-136.319
3760	1	-135.44
3770	1	-135.761
3780	1	-136.818
3790	1	-136.236
3800	1	-135.371
3810	1	-135.918
3820	1	-138.334
3830	1	-136.165
3840	1	-137.559
3850	1	-135.592
3860	1	-137.039
3870	1	-137.43
3880	1	-135.784
3890	1	-139.763
3900	1	-137.695
3910	1	-138.73
3920	1	-136.216
3930	1	-135.842
3940	1	-138.69
3950	1	-137.303
3960	1	-135.797
3970	1	-138.274
3980	1	-135.314
3990	1	-136.401
4000	1	-135.62
4010	1	-135.481
4020	1	-136.464
4030	1	-135.078
4040	1	-135.971
4050	1	-137.19
4060	1	-136.868
4070	1	-136.281
4080	1	-136.055
4090	1	-135.701
4100	1	-137.749
4110	1	-137.641
4120	1	-135.147
4130	1	-138.86
4140	1	-135.213
4150	1	-137.333
4160	1	-135.513
4170	1	-139.629
4180	1	-139.522
4190	1	-135.726
4200	1	-140.091
4210	1	-137.689
4220	1	-136.187
4230	1	-135.355
4240	1	-138.533
4250	1	-135.321
4260	1	-135.679
4270	1	-136.524
4280	1	-135.991
4290	1	-136.31
4300	1	-136.212
4310	1	-138.207
4320	1	-136.564
4330	1	-137.231
4340	1	-138.697
4350	1	-136.625
4360	1	-137.839
4370	1	-136.054
4380	1	-138.048
4390	1	-139.226
4400	1	-135.349
4410	1	-136.975
4420	1	-137.19
4430	1	-136.501
4440	1	-135.336
4450	1	-136.174
4460	1	-134.984
4470	1	-139.099
4480	1	-136.779
4490	1	-137.661
4500	1	-140.305
4510	1	-137.01
4520	1	-136.19
4530	1	-138.194
4540	1	-135.94
4550	1	-138.2
4560	1	-137.349
4570	1	-135.549
4580	1	-136.252
4590	1	-135.987
4600	1	-135.599
4610	1	-136.136
4620	1	-135.736
4630	1	-135.981
4640	1	-136.709
4650	1	-135.673
4660	1	-135.763
4670	1	-137.308
4680	1	-135.92
4690	1	-135.74
4700	1	-137.93
4710	1	-135.172
4720	1	-138.591
4730	1	-136.124
4740	1	-138.891
4750	1	-136.895
4760	1	-136.217
4770	1	-136.94
4780	1	-139.808
4790	1	-138.637
4800	1	-137.903
4810	1	-137.621
4820	1	-136.651
4830	1	-136.278
4840	1	-136.393
4850	1	-136.12
4860	1	-138.235
4870	1	-135.883
4880	1	-134.979
4890	1	-135.394
4900	1	-136.836
4910	1	-139.539
4920	1	-137.23
4930	1	-135.895
4940	1	-136.248
4950	1	-137.022
4960	1	-138.679
4970	1	-135.419
4980	1	-136.359
4990	1	-135.149
5000	1	-135.538
1260	0.773781	-137.184
1270	0.773781	-136.393
1280	0.773781	-140.534
1290	0.773781	-135.803
1300	0.773781	-136.746
1310	0.773781	-135.529
1320	0.773781	-138.416
1330	0.773781	-135.641
1340	0.773781	-135.39
1350	0.773781	-135.739
1360	0.773781	-137.593
1370	0.773781	-137.273
1380	0.773781	-137.493
1390	0.773781	-136.91
1400	0.773781	-135.667
1410	0.773781	-135.442
1420	0.773781	-136.892
1430	0.773781	-136.038
1440	0.773781	-137.575
1450	0.773781	-135.465
1460	0.773781	-139.046
1470	0.773781	-136.236
1480	0.773781	-135.697
1490	0.773781	-136.928
1500	0.773781	-138.42
1510	0.773781	-135.151
1520	0.773781	-138.651
1530	0.773781	-137.468
1540	0.773781	-136.231
1550	0.773781	-137.697
1560	0.773781	-138.925
1570	0.773781	-135.968
1580	0.773781	-139.755
1590	0.773781	-140.31
1600	0.773781	-137.056
