Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
114	0	-108.7485	-104.1433	-4.60517	0.07750415
115	1	-108.5481	-103.9429	-4.60517	0.09128988
116	0	-110.6635	-106.0584	-4.60517	0.133584
117	1	-108.5987	-103.9935	-4.60517	0.09565333
118	0	-109.2477	-104.6425	-4.60517	0.1133914
119	1	-109.2194	-104.6143	-4.60517	0.1128646
120	0	-108.6997	-104.0945	-4.60517	0.1001503
121	1	-109.0347	-104.4296	-4.60517	0.1091512
122	0	-109.6371	-105.0319	-4.60517	0.1199219
123	1	-108.5732	-103.968	-4.60517	0.09395208
124	0	-108.5899	-103.9847	-4.60517	0.08338524
125	1	-108.5975	-103.9924	-4.60517	0.08295606
126	0	-108.6104	-104.0052	-4.60517	0.09630666
127	1	-109.1563	-104.5511	-4.60517	0.06972843
128	0	-110.4359	-105.8307	-4.60517	0.1308334
129	1	-108.9742	-104.369	-4.60517	0.07264963
130	0	-110.6656	-106.0605	-4.60517	0.1336089
131	1	-108.8536	-104.2485	-4.60517	0.1048457
132	0	-108.5869	-103.9817	-4.60517	0.08356469
133	1	-111.0618	-106.4566	-4.60517	0.1381385
134	0	-108.6406	-104.0354	-4.60517	0.0977827
135	1	-108.7171	-104.112	-4.60517	0.07838402
136	0	-108.6171	-104.0119	-4.60517	0.09665682
137	1	-108.542	-103.9368	-4.60517	0.08862533
138	0	-109.3418	-104.7366	-4.60517	0.1150862
139	1	-108.5906	-103.9855	-4.60517	0.08334203
140	0	-109.5852	-104.98	-4.60517	0.1191154
141	1	-108.7026	-104.0974	-4.60517	0.07882129
142	0	-110.0841	-105.479	-4.60517	0.05977668
143	1	-108.5448	-103.9396	-4.60517	0.08763179
144	0	-108.905	-104.2998	-4.60517	0.07394378
145	1	-108.558	-103.9528	-4.60517	0.09258114
146	0	-108.5576	-103.9524	-4.60517	0.09254185
147	1	-108.5426	-103.9375	-4.60517	0.08828551
148	0	-109.519	-104.9138	-4.60517	0.06515897
149	1	-108.5488	-103.9436	-4.60517	0.09139857
150	0	-109.0975	-104.4923	-4.60517	0.1104714
151	1	-109.6036	-104.9984	-4.60517	0.119403
152	0	-108.8504	-104.2452	-4.60517	0.07506671
153	1	-108.8661	-104.2609	-4.60517	0.07473291
154	0	-111.3607	-106.7556	-4.60517	0.1413814
155	1	-110.1799	-105.5747	-4.60517	0.05899632
156	0	-108.8111	-104.2059	-4.60517	0.1036821
157	1	-108.8018	-104.1966	-4.60517	0.07616232
158	0	-109.1502	-104.5451	-4.60517	0.06981665
159	1	-108.6044	-103.9993	-4.60517	0.09598052
160	0	-108.5431	-103.9379	-4.60517	0.09013801
161	1	-109.1116	-104.5064	-4.60517	0.07039297
162	0	-108.5643	-103.9592	-4.60517	0.0932087
163	1	-108.5991	-103.994	-4.60517	0.09567787
164	0	-108.7468	-104.1416	-4.60517	0.1017497
165	1	-109.3508	-104.7456	-4.60517	0.1152434
166	0	-109.7055	-105.1003	-4.60517	0.1209611
167	1	-108.5578	-103.9527	-4.60517	0.08577013
168	0	-108.5458	-103.9406	-4.60517	0.09085694
169	1	-108.8208	-104.2156	-4.60517	0.07572104
170	0	-109.3442	-104.739	-4.60517	0.06720558
171	1	-108.5453	-103.9402	-4.60517	0.09075906
172	0	-108.6056	-104.0004	-4.60517	0.09604412
173	1	-109.554	-104.9489	-4.60517	0.1186234
174	0	-108.7343	-104.1291	-4.60517	0.07789403
175	1	-108.9625	-104.3573	-4.60517	0.07285975
176	0	-108.6265	-104.0213	-4.60517	0.08156503
177	1	-108.5474	-103.9423	-4.60517	0.08710969
178	0	-108.5666	-103.9615	-4.60517	0.08497101
179	1	-109.4944	-104.8892	-4.60517	0.06543287
180	0	-109.0223	-104.4171	-4.60517	0.10888
181	1	-108.9539	-104.3487	-4.60517	0.1073359
182	0	-109.4804	-104.8752	-4.60517	0.1174349
183	1	-108.9448	-104.3396	-4.60517	0.1071213
184	0	-110.0149	-105.4097	-4.60517	0.1253792
185	1	-109.0972	-104.492	-4.60517	0.1104652
186	0	-108.5558	-103.9507	-4.60517	0.09234511
187	1	-108.89	-104.2848	-4.60517	0.07424156
188	0	-108.5835	-103.9783	-4.60517	0.0946999
189	1	-109.0186	-104.4135	-4.60517	0.0718798
190	0	-109.0108	-104.4056	-4.60517	0.1086271
191	1	-108.548	-103.9429	-4.60517	0.08700858
192	0	-109.6999	-105.0947	-4.60517	0.1208765
193	1	-109.409	-104.8038	-4.60517	0.1162442
194	0	-108.8086	-104.2034	-4.60517	0.07600239
195	1	-108.5428	-103.9377	-4.60517	0.08820373
196	0	-108.6432	-104.038	-4.60517	0.09789621
197	1	-109.7017	-105.0965	-4.60517	0.06324612
198	0	-108.5779	-103.9727	-4.60517	0.08413647
