Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
47	1	-157.4699	-114.8106	-42.65928	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
48	0	-154.3111	-116.2572	-38.05387	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
49	1	-183.1435	-117.4491	-65.6944	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
50	0	-172.7318	-116.1681	-56.56379	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
51	1	-161.4498	-114.4152	-47.03465	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
52	0	-141.8738	-116.0565	-25.81726	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
53	1	-195.4403	-115.5462	-79.89412	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
54	0	-140.9089	-113.7745	-27.13439	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
55	1	-176.8897	-114.3615	-62.52824	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
56	0	-164.8919	-112.173	-52.71885	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
57	1	-162.7224	-114.9153	-47.80707	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
58	0	-144.2044	-118.2398	-25.96457	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
59	1	-154.2043	-118.1528	-36.05153	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
60	0	-109.8843	-112.4841	2.599726	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
61	1	-138.6446	-117.2553	-21.38934	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
62	0	-121.4373	-112.3409	-9.096453	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
63	1	-157.3753	-116.4724	-40.90284	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
64	0	-118.5616	-112.3855	-6.176096	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
65	1	-176.8609	-117.6952	-59.16569	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
66	0	-119.0946	-111.8956	-7.199083	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
67	1	-157.7154	-119.5622	-38.15319	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
68	0	-147.6286	-111.1148	-36.51377	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
69	1	-180.0169	-116.6034	-63.41348	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
70	0	-139.184	-112.4627	-26.72131	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
71	1	-176.198	-118.6303	-57.56776	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
72	0	-124.0946	-111.6926	-12.40195	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
73	1	-171.0077	-114.8603	-56.14739	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
74	0	-172.5521	-114.6339	-57.91816	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
75	1	-184.1082	-113.1784	-70.92977	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
76	0	-157.8773	-116.1455	-41.73174	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
77	1	-153.78	-114.1099	-39.67014	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
78	0	-158.2097	-111.2826	-46.92712	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
79	1	-171.5775	-114.8567	-56.72074	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
80	0	-173.4796	-109.2137	-64.26586	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
81	1	-175.8309	-113.8795	-61.95141	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
82	0	-159.0734	-109.0699	-50.00355	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
83	1	-147.9289	-114.7793	-33.14962	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
84	0	-169.2867	-109.7581	-59.52855	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
85	1	-136.3146	-119.4548	-16.85977	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
